Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
03/05/2022;;;;;1.34;600;804;02/05/2022;1.34
02/05/2022;1.34;1.34;1.34;1.34;1.34;168542;225846.28;29/04/2022;1.44
29/04/2022;1.44;1.44;1.45;1.44;1.4484258110157855;833985;1207965.4;28/04/2022;1.42
28/04/2022;1.42;1.42;1.42;1.4;1.4134803035778822;415050;586665;27/04/2022;1.4
27/04/2022;1.4;1.4;1.4;1.4;1.4000010677135735;243511;340915.66;26/04/2022;1.35
26/04/2022;1.3;1.35;1.35;1.3;1.3141526059416209;431936;567629.82;25/04/2022;1.3
25/04/2022;1.28;1.3;1.3;1.23;1.255514853072773;386654;485449.84;22/04/2022;1.37
22/04/2022;1.31;1.37;1.37;1.3;1.3084079288495025;596707;780736.17;21/04/2022;1.31
21/04/2022;1.31;1.31;1.32;1.29;1.3084675310257325;630525;825021.49;20/04/2022;1.31
20/04/2022;1.32;1.31;1.32;1.31;1.3109108771575766;356766;467688.43;19/04/2022;1.31
19/04/2022;1.31;1.31;1.31;1.31;1.3099999999999998;337484;442104.04;18/04/2022;1.31
18/04/2022;1.4;1.31;1.4;1.31;1.3348282240520026;534126;712966.46;13/04/2022;1.45
13/04/2022;1.52;1.45;1.56;1.31;1.418570466791375;1341263;1902676.08;12/04/2022;1.52
12/04/2022;1.55;1.52;1.55;1.52;1.548471837589132;687885;1065170.55;11/04/2022;1.56
11/04/2022;1.56;1.56;1.56;1.55;1.559081163663994;2590026;4038060.75;08/04/2022;1.55
08/04/2022;1.53;1.55;1.55;1.53;1.545379654723935;1201763;1857180.09;07/04/2022;1.53
07/04/2022;1.53;1.53;1.54;1.53;1.5300308597490981;2733658;4182581.1;06/04/2022;1.53
06/04/2022;1.43;1.53;1.53;1.43;1.5248638329919317;4751004;7244634.17;05/04/2022;1.41
05/04/2022;1.3;1.41;1.41;1.3;1.3615877604956783;398807;543010.73;04/04/2022;1.3
04/04/2022;1.3;1.3;1.32;1.3;1.3009829556545347;1803296;2346057.36;01/04/2022;1.3
01/04/2022;1.3;1.3;1.3;1.28;1.299192202057192;371380;482494;31/03/2022;1.3
31/03/2022;1.26;1.3;1.3;1.25;1.2677610759493672;179488;227547.9;25/03/2022;1.25
30/03/2022;;;;;;;;25/03/2022;1.25
29/03/2022;;;;;;;;25/03/2022;1.25
28/03/2022;;;;;;;;25/03/2022;1.25
25/03/2022;1.25;1.25;1.25;1.25;1.25;608362;760452.5;24/03/2022;1.25
24/03/2022;1.25;1.25;1.25;1.25;1.25;55060;68825;22/03/2022;1.25
23/03/2022;;;;;;;;22/03/2022;1.25
22/03/2022;1.25;1.25;1.25;1.24;1.2480992082377882;231130;288473.17;21/03/2022;1.25
21/03/2022;1.25;1.25;1.25;1.24;1.2478919075601465;75898;94712.5;18/03/2022;1.25
18/03/2022;1.28;1.25;1.28;1.25;1.2646055108192638;70661;89358.29;17/03/2022;1.25
