Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
03/05/2022;5.2;5;5.2;5;5.088868726089768;593888;3022218.07;02/05/2022;5.08
02/05/2022;5.05;5.08;5.08;4.96;4.99425822674948;258091;1288973.1;29/04/2022;5.12
29/04/2022;5.12;5.12;5.15;5.12;5.1387736178069545;48745;250489.52;28/04/2022;5.1
28/04/2022;5.15;5.1;5.2;5;5.001589710032213;12670166;63370971.89;27/04/2022;5.2
27/04/2022;5.2;5.2;5.3;5.2;5.223208336664801;37521;195980;26/04/2022;5.02
26/04/2022;5;5.02;5.1;4.93;5.008125904378075;1270901;6364832.22;25/04/2022;4.97
25/04/2022;5.2;4.97;5.2;4.97;5.097403677155061;297567;1516819.12;22/04/2022;5.25
22/04/2022;5.6;5.5;5.6;5.4;5.466521677370157;267514;1462371.08;21/04/2022;5.6
21/04/2022;5.35;5.6;5.6;5.35;5.408745101882624;561185;3035306.62;20/04/2022;5.35
20/04/2022;5.1;5.35;5.35;5.1;5.111626141265414;1049712;5365735.3;19/04/2022;5.08
19/04/2022;5.12;5.08;5.12;5.01;5.027233028480897;1440369;7241070.61;18/04/2022;5.01
18/04/2022;5.01;5.01;5.1;5;5.008821521833648;749806;3755644.43;13/04/2022;5.01
13/04/2022;5.42;5.01;5.5;5.01;5.331125420403076;821533;4379695.46;12/04/2022;5.42
12/04/2022;5.65;5.42;5.65;5.42;5.581706328242326;168467;940333.32;11/04/2022;5.63
11/04/2022;5.6;5.63;5.68;5.6;5.644480179973754;48007;270974.56;08/04/2022;5.6
08/04/2022;5.7;5.6;5.7;5.6;5.650286552015957;668814;3778990.75;07/04/2022;5.7
07/04/2022;5.74;5.7;5.74;5.7;5.719279884049126;13109;74974.04;06/04/2022;5.7
06/04/2022;5.77;5.7;5.77;5.7;5.7489735007321325;561374;3227324.25;05/04/2022;5.76
05/04/2022;5.77;5.76;5.77;5.76;5.765215285559628;52651;303544.35;04/04/2022;5.77
04/04/2022;5.7;5.77;5.81;5.69;5.724164215201211;596242;3412987.12;01/04/2022;5.69
01/04/2022;5.63;5.69;5.7;5.6;5.65625211249901;644379;3644770.08;31/03/2022;5.55
31/03/2022;5.63;5.55;5.63;5.55;5.5873153972427625;137674;769228.06;30/03/2022;5.63
30/03/2022;5.7;5.63;5.7;5.63;5.690044567062818;98952;563041.29;29/03/2022;5.7
29/03/2022;5.75;5.7;5.75;5.7;5.71433025321868;168392;962247.5;28/03/2022;5.75
28/03/2022;5.76;5.75;5.76;5.75;5.7512792486988005;44190;254149.03;25/03/2022;5.7
25/03/2022;5.78;5.7;5.78;5.7;5.773625112404159;399229;2304998.58;24/03/2022;5.78
24/03/2022;5.78;5.78;5.78;5.74;5.761385613988607;7549;43492.7;23/03/2022;5.78
23/03/2022;5.78;5.78;5.78;5.78;5.78;41888;242112.64;22/03/2022;5.78
22/03/2022;5.81;5.78;5.81;5.78;5.791685381891755;29655;171752.43;21/03/2022;5.81
21/03/2022;5.82;5.81;5.83;5.81;5.821623801882291;23057;134229.18;18/03/2022;5.82
18/03/2022;5.79;5.82;5.82;5.78;5.801141708131688;44013;255325.65;17/03/2022;5.79
17/03/2022;5.83;5.79;5.83;5.79;5.823470359495278;63005;366907.75;16/03/2022;5.83
16/03/2022;5.67;5.83;5.83;5.67;5.70310746329471;3283791;18727812.96;15/03/2022;5.67
15/03/2022;5.69;5.67;5.69;5.67;5.67943945630541;88432;502244.19;14/03/2022;5.69
14/03/2022;5.75;5.69;5.75;5.69;5.748708775321946;790273;4543049.33;11/03/2022;5.79
11/03/2022;5.79;5.79;5.8;5.78;5.790125454249386;1725649;9991724.2;10/03/2022;5.75
10/03/2022;5.85;5.75;5.85;5.75;5.836902290572875;322845;1884414.72;09/03/2022;5.85
09/03/2022;5.85;5.85;5.9;5.84;5.856640911536016;81796;479049.8;08/03/2022;5.86
08/03/2022;5.9;5.86;5.9;5.86;5.897829877105749;300665;1773271.02;07/03/2022;5.9
07/03/2022;6.05;5.9;6.05;5.88;5.930125495537126;205585;1219144.85;04/03/2022;6.15
04/03/2022;6.2;6.15;6.2;6.15;6.177898116365251;117114;723518.36;03/03/2022;6.2
03/03/2022;6.2;6.2;6.2;6.17;6.196042702370813;50489;312832;02/03/2022;6.2
02/03/2022;6.2;6.2;6.25;6.19;6.200356466638396;740462;4591128.35;01/03/2022;6.22
01/03/2022;6.22;6.22;6.23;6.22;6.224036490546033;22636;140887.29;28/02/2022;6.12
28/02/2022;6.3;6.12;6.3;6.12;6.127933485534765;355231;2176831.94;25/02/2022;6.35
25/02/2022;6.3;6.35;6.35;6.3;6.300125167968282;751630;4735363.08;24/02/2022;6.29
24/02/2022;6.19;6.29;6.29;6.1;6.169323005888651;149440;921943.63;23/02/2022;6.25
23/02/2022;6.23;6.25;6.25;6.23;6.244341216216216;11840;73933;22/02/2022;6.23
22/02/2022;6.29;6.23;6.29;6.2;6.236858255769188;44157;275400.95;21/02/2022;6.23
21/02/2022;6.2;6.23;6.23;6.2;6.203970604776724;26671;165466.1;18/02/2022;6.3
18/02/2022;6.2;6.3;6.3;6.2;6.216614512388175;81489;506585.7;17/02/2022;6.2
17/02/2022;6.28;6.2;6.28;6.2;6.2727058919100225;381608;2393714.75;16/02/2022;6.28
