Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado ($);Fecha anterior;Cierre anterior corregido
03/05/2022;139;140.86;141.2;138.3;139.6984864104967;2134;298116.57;02/05/2022;137.43
02/05/2022;137.36;137.43;138.68;137.36;137.38449084249083;4095;562589.49;29/04/2022;139.45
29/04/2022;140;139.45;140.45;139.41;139.73015007012623;7130;996275.97;28/04/2022;138.86
28/04/2022;138.08;138.86;138.86;135;136.38415155440416;1544;210577.13;27/04/2022;138
27/04/2022;136.5;138;138;136.5;137.89217803030306;1056;145614.14;26/04/2022;136.65
26/04/2022;135.6;136.65;136.65;135.47;136.44946315789474;9500;1296269.9;25/04/2022;139.78
25/04/2022;140;139.78;140.24;138;139.3095513937282;2296;319854.73;22/04/2022;148.5
22/04/2022;151.09;148.5;151.09;148.5;148.7399716713881;353;52505.21;21/04/2022;154.7
21/04/2022;152.8;154.7;155;152.29;154.02290983606557;3660;563723.85;20/04/2022;151.65
20/04/2022;148;151.65;152.2;147.2;151.02792263691452;17657;2666700.03;19/04/2022;145.19
19/04/2022;143.2;145.19;145.3;143.2;144.51067868359962;7323;1058251.7;18/04/2022;142
18/04/2022;145;142;145;141.3;142.58858585858587;396;56465.08;13/04/2022;144.5
13/04/2022;143.2;144.5;146;143.2;144.88557913887206;1649;238916.32;12/04/2022;145.2
12/04/2022;150;145.2;150;145;148.39190169491525;2950;437756.11;11/04/2022;150
11/04/2022;147.4;150;150.11;147.13;148.52558681672025;2488;369531.66;08/04/2022;146.11
08/04/2022;149.5;146.11;151.3;145.9;148.2105946974847;36775;5450444.62;07/04/2022;159.25
07/04/2022;162.22;159.25;162.22;157.35;159.65828374860544;5378;858642.25;06/04/2022;161
06/04/2022;163.9;161;166;161;162.78609278626976;7458;1214058.68;05/04/2022;167.91
05/04/2022;170;167.91;170;167.91;168.71116504854368;309;52131.75;04/04/2022;169.51
04/04/2022;170.27;169.51;170.8;169.25;170.10611282972425;30063;5113900.07;01/04/2022;170.36
01/04/2022;173.02;170.36;173.02;169.55;170.92189781021898;7261;1241063.9;31/03/2022;172.72
31/03/2022;173.5;172.72;173.75;171.44;172.21003127860848;13108;2257329.09;30/03/2022;174
30/03/2022;178.9;174;181.4;173;178.21330049261084;16849;3002715.9;29/03/2022;176.72
29/03/2022;178.71;176.72;179.51;176.68;177.34338009171836;11121;1972235.73;28/03/2022;176.92
28/03/2022;174.57;176.92;177.54;174.57;176.42875;1032;182074.47;25/03/2022;176.44
25/03/2022;178.27;176.44;178.8;175.96;176.32514449291168;3668;646760.63;24/03/2022;174
24/03/2022;176.2;174;177.3;174;177.2879165600322;218816;38793432.75;23/03/2022;177.45
23/03/2022;173.2;177.45;177.45;173.2;176.07445056538128;20694;3643684.68;22/03/2022;174.5
22/03/2022;171.5;174.5;174.57;171.5;173.9996545212175;9002;1566344.89;21/03/2022;169.49
21/03/2022;170;169.49;171.33;169.36;170.86671062271063;1365;233233.06;18/03/2022;167.89
