Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
02/05/2022;1.78;1.75;1.78;1.75;1.776670386722851;347665;617686.11;29/04/2022;1.78
29/04/2022;1.78;1.78;1.78;1.78;1.7793138936535164;17490;31120.2;28/04/2022;1.78
28/04/2022;1.82;1.78;1.82;1.78;1.7936744541962082;128068;229712.3;27/04/2022;1.8
27/04/2022;1.8;1.8;1.8;1.8;1.8;413348;744026.4;26/04/2022;1.74
26/04/2022;1.78;1.74;1.78;1.74;1.7737055808386473;591524;1049189.42;25/04/2022;1.79
25/04/2022;1.84;1.79;1.84;1.79;1.8198457430000539;519004;944507.22;22/04/2022;1.86
22/04/2022;1.87;1.86;1.87;1.86;1.869768713822445;319777;597909.03;21/04/2022;1.87
21/04/2022;1.88;1.87;1.88;1.87;1.8800904245701344;580705;1091777.91;20/04/2022;1.88
20/04/2022;2;2;2;2;2;417700;835400;19/04/2022;2
19/04/2022;2;2;2.01;2;2.0010264528836776;543230;1087017.6;18/04/2022;2
18/04/2022;2.1;2;2.1;2;2.0848211890226573;703704;1467097.01;13/04/2022;2.1
13/04/2022;2.2;2.1;2.2;2.1;2.160638797768002;1383693;2989660.78;12/04/2022;2.2
12/04/2022;2.2;2.2;2.2;2.2;2.2;7246;15941.2;11/04/2022;2.2
11/04/2022;2.2;2.2;2.2;2.2;2.199657604601794;14603;32121.6;08/04/2022;2.2
08/04/2022;2.2;2.2;2.2;2.2;2.201798894633624;28045;61749.45;07/04/2022;2.21
07/04/2022;2.2;2.21;2.21;2.2;2.202495979302147;28602;62995.79;06/04/2022;2.22
06/04/2022;2.23;2.22;2.23;2.22;2.2246504665088427;43086;95851.29;05/04/2022;2.25
05/04/2022;2.25;2.25;2.25;2.25;2.2582836710369487;8390;18947;04/04/2022;2.25
04/04/2022;2.3;2.25;2.3;2.24;2.294735368067003;600570;1378149.22;01/04/2022;2.24
01/04/2022;2.24;2.24;2.24;2.24;2.2402835232489067;37034;82966.66;31/03/2022;2.24
31/03/2022;2.21;2.24;2.25;2.21;2.247349972239114;189115;425007.59;30/03/2022;2.21
30/03/2022;2.17;2.21;2.22;2.17;2.20411146229762;77515;170851.7;29/03/2022;2.18
29/03/2022;2.2;2.18;2.2;2.18;2.195994749737487;57140;125479.14;28/03/2022;2.2
28/03/2022;2.18;2.2;2.22;2.18;2.201418959554954;106416;234266.2;25/03/2022;2.2
25/03/2022;2.2;2.2;2.2;2.2;2.2;528018;1161639.6;24/03/2022;2.2
24/03/2022;2.2;2.2;2.2;2.19;2.1923789427801554;50472;110653.75;22/03/2022;2.2
23/03/2022;;;;;;;;22/03/2022;2.2
22/03/2022;2.2;2.2;2.22;2.2;2.2016213306092585;144881;318973.1;21/03/2022;2.2
21/03/2022;2.2;2.2;2.2;2.2;2.2000134831460674;35600;78320.48;18/03/2022;2.2
18/03/2022;2.2;2.2;2.2;2.2;2.2002281519690507;20162;44361;17/03/2022;2.23
17/03/2022;2.23;2.23;2.23;2.23;2.23;35050;78161.5;16/03/2022;2.23
16/03/2022;2.19;2.23;2.23;2.19;2.2152622427389885;259950;575857.42;15/03/2022;2.18
15/03/2022;2.17;2.18;2.18;2.16;2.1751758910169405;99465;216353.87;14/03/2022;2.17
14/03/2022;2.19;2.17;2.19;2.17;2.175069937223401;92869;201996.57;11/03/2022;2.16
11/03/2022;2.17;2.16;2.19;2.16;2.1797337308735534;96594;210549.2;10/03/2022;2.17
10/03/2022;2.15;2.17;2.17;2.12;2.164343909344669;1651883;3575242.91;09/03/2022;2.15
09/03/2022;2.1;2.15;2.16;2.1;2.143103285014755;154185;330434.38;08/03/2022;2.08
08/03/2022;2.1;2.08;2.1;2.05;2.0968964689148124;541335;1135123.45;07/03/2022;2.1
07/03/2022;2.12;2.1;2.12;2.1;2.1076896566579073;23213;48925.8;04/03/2022;2.19
04/03/2022;2.19;2.19;2.19;2.18;2.185934593023256;27520;60156.92;03/03/2022;2.19
03/03/2022;2.13;2.19;2.19;2.13;2.145300778787405;421938;905183.92;02/03/2022;2.14
02/03/2022;2.15;2.14;2.16;2.14;2.1446442166910686;187825;402817.8;01/03/2022;2.18
01/03/2022;2.22;2.18;2.22;2.18;2.1971456237559845;18589;40842.74;28/02/2022;2.23
