Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado ($);Fecha anterior;Cierre anterior corregido
03/05/2022;9.55;9.61;9.8;9.54;9.697831651433296;88293;856250.65;02/05/2022;9.2
02/05/2022;8.94;9.2;9.2;8.84;9.100412138881527;75460;686717.1;29/04/2022;9.44
29/04/2022;9.31;9.44;9.48;9.03;9.314632851403475;112257;1045632.74;28/04/2022;8.91
28/04/2022;8.92;8.91;8.96;8.85;8.916419026197406;15116;134780.59;27/04/2022;8.85
27/04/2022;8.87;8.85;9.07;8.85;9.033969523809523;31500;284570.04;26/04/2022;8.82
26/04/2022;8.9;8.82;8.99;8.73;8.82639691787258;26605;234826.29;25/04/2022;8.9
25/04/2022;9.25;8.9;9.25;8.75;8.987484423676014;88596;796255.17;22/04/2022;9.7
22/04/2022;9.85;9.7;10;9.64;9.75065418840135;65180;635547.64;21/04/2022;9.95
21/04/2022;10.5;9.95;10.5;9.83;10.068815847313356;125119;1259800.17;20/04/2022;10.68
20/04/2022;10.3;10.75;10.75;10.18;10.592162644628099;15125;160206.46;19/04/2022;10.37
19/04/2022;10.75;10.37;10.81;10.35;10.578825040128411;6230;65906.08;18/04/2022;11.05
18/04/2022;10.91;11.05;11.25;10.89;11.106250232252348;69967;777071.01;13/04/2022;10.55
13/04/2022;10.49;10.55;10.63;10.49;10.599832154790581;51476;545636.96;12/04/2022;10.46
12/04/2022;10.68;10.46;10.83;10.46;10.697565938796274;12777;136682.8;11/04/2022;10.45
11/04/2022;11;10.45;11;10.36;10.589236128119301;36747;389122.66;08/04/2022;10.7
08/04/2022;10.4;10.7;10.86;10.35;10.63201267232195;124839;1327289.83;07/04/2022;10.21
07/04/2022;10.05;10.21;10.3;10.05;10.218702070552148;20864;213203;06/04/2022;9.95
06/04/2022;9.8;9.95;9.95;9.7;9.829323376038113;15533;152678.88;05/04/2022;9.72
05/04/2022;10.17;9.72;10.17;9.65;9.820001976267603;116381;1142861.65;04/04/2022;10.07
04/04/2022;10.17;10.07;10.2;9.98;10.089006286030681;30703;309762.76;01/04/2022;10.35
01/04/2022;10.25;10.35;10.35;10.08;10.256320712409506;46827;480272.73;31/03/2022;10.02
31/03/2022;10.06;10.02;10.06;9.91;9.988609754788861;18637;186157.72;30/03/2022;9.85
30/03/2022;10.22;9.85;10.22;9.84;9.973294417123132;75033;748326.2;29/03/2022;10.09
29/03/2022;10;10.09;10.1;9.89;9.970170073536558;30869;307769.18;28/03/2022;10.12
28/03/2022;10.5;10.12;10.5;10.11;10.200759070246162;34977;356791.95;25/03/2022;10.68
25/03/2022;10.65;10.68;10.75;10.57;10.659808600546857;4023;42884.41;24/03/2022;10.65
24/03/2022;10.69;10.65;11.01;10.6;10.809287788326644;91953;993946.44;23/03/2022;10.33
23/03/2022;10.4;10.33;10.4;10.2;10.305105047399435;7806;80441.65;22/03/2022;10.15
22/03/2022;10.24;10.15;10.24;10.03;10.107981751824818;27400;276958.7;21/03/2022;10.42
21/03/2022;10.3;10.42;10.62;10.3;10.522158959537572;3460;36406.67;18/03/2022;10.1
18/03/2022;10.05;10.1;10.3;10.05;10.131476155994621;9667;97940.98;17/03/2022;10.3
17/03/2022;10.54;10.3;10.7;10.3;10.502648009216331;71178;747557.48;16/03/2022;10.02
16/03/2022;10.09;10.02;10.22;9.95;10.08342829480108;34084;343683.57;15/03/2022;10.15
15/03/2022;10.04;10.15;10.3;9.94;10.079329728131139;47339;477145.39;14/03/2022;10.18
14/03/2022;10.45;10.18;10.57;10;10.220339555166312;54807;560146.15;11/03/2022;10.9
11/03/2022;10.71;10.9;11.1;10.6;10.947917734276245;29271;320456.5;10/03/2022;10.98
10/03/2022;11.06;10.98;11.32;10.9;11.044694186474656;24443;269965.46;09/03/2022;10.5
09/03/2022;10.81;10.5;10.81;10.43;10.608905800739354;43822;464903.47;08/03/2022;11.18
08/03/2022;11.5;11.18;12.25;11.17;11.904353341281787;102326;1218124.86;07/03/2022;11.4
07/03/2022;11.2;11.4;11.55;11.2;11.38869768607468;47884;545336.4;04/03/2022;11.25
04/03/2022;10.95;11.25;11.3;10.78;11.030096308436743;128130;1413286.24;03/03/2022;10.65
03/03/2022;10.6;10.65;10.71;10.5;10.624117573248007;47817;508013.43;02/03/2022;10.48
02/03/2022;10.4;10.48;10.55;10.4;10.492511098054576;91908;964345.71;01/03/2022;10.3
01/03/2022;9.97;10.3;10.6;9.97;10.319603812586127;95788;988494.21;28/02/2022;9.85
28/02/2022;9.58;9.85;9.86;9.39;9.677923070667642;24594;238018.84;25/02/2022;9.76
25/02/2022;9.31;9.76;9.8;9.31;9.49217377449459;241635;2293641.41;24/02/2022;9.46
24/02/2022;10;9.46;10;9.3;9.527068152379687;60218;573700.99;23/02/2022;9.85
23/02/2022;9.7;9.85;9.89;9.7;9.809090839047693;77874;763873.14;22/02/2022;9.55
22/02/2022;9.7;9.55;9.85;9.46;9.541442491380772;88465;844083.71;18/02/2022;9.76
