Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
03/05/2022;4.46;4.46;4.46;4.46;4.457994045403796;8061;35935.89;02/05/2022;4.4
02/05/2022;4.54;4.4;4.54;4.38;4.416156800555046;80714;356445.68;29/04/2022;4.6
29/04/2022;4.6;4.6;4.6;4.6;4.6;39780;182988;28/04/2022;4.54
28/04/2022;4.45;4.54;4.54;4.45;4.453321445650925;269747;1201270.1;27/04/2022;4.41
27/04/2022;4.25;4.41;4.41;4.25;4.344349406882368;81687;354876.87;26/04/2022;4.2
26/04/2022;4.25;4.2;4.26;4.18;4.218262085407545;133384;562648.67;25/04/2022;4.25
25/04/2022;4.39;4.25;4.4;4.25;4.2694170575720705;153703;656222.21;22/04/2022;4.45
22/04/2022;4.5;4.45;4.5;4.4;4.423920022464747;131762;582904.55;21/04/2022;4.4
21/04/2022;4.6;4.4;4.6;4.4;4.461934742565402;168839;753348.6;20/04/2022;4.54
20/04/2022;4.5;4.54;4.54;4.48;4.504848061835149;77367;348526.58;19/04/2022;4.5
19/04/2022;4.51;4.5;4.51;4.45;4.459564988180875;117606;524471.6;18/04/2022;4.49
18/04/2022;4.6;4.49;4.6;4.49;4.516234020006907;338783;1530023.31;13/04/2022;4.6
13/04/2022;4.85;4.6;4.93;4.5;4.6914477142800575;454627;2132858.8;12/04/2022;4.85
12/04/2022;4.9;4.85;4.9;4.85;4.877918601765519;28207;137591.45;11/04/2022;4.95
11/04/2022;5;4.95;5;4.95;4.978165374677003;10836;53943.4;08/04/2022;5
08/04/2022;4.95;5;5;4.95;4.976870677006917;9542;47489.3;07/04/2022;4.95
07/04/2022;4.95;4.95;4.95;4.95;4.949976670470394;394350;1952023.3;06/04/2022;4.95
06/04/2022;4.95;4.95;4.95;4.91;4.942052287581699;6885;34026.03;05/04/2022;4.9
05/04/2022;5;4.9;5;4.9;4.977116820553994;49820;247959.96;04/04/2022;5.01
04/04/2022;5.1;5.01;5.1;5.01;5.098350931250368;203812;1039105.1;01/04/2022;5.1
01/04/2022;5;5.1;5.1;5;5.071161616161616;19800;100409;31/03/2022;5
31/03/2022;4.89;5;5;4.89;4.968901272186192;84343;419092.04;30/03/2022;4.89
30/03/2022;4.83;4.89;4.9;4.83;4.8338844145221165;95358;460949.55;29/03/2022;4.83
29/03/2022;4.83;4.83;4.88;4.8;4.8284741395763096;94314;455392.71;28/03/2022;4.83
28/03/2022;4.83;4.83;4.83;4.81;4.829063474387528;35920;173459.96;25/03/2022;4.83
25/03/2022;4.85;4.83;4.85;4.83;4.84855723648955;194072;940969.2;24/03/2022;4.85
24/03/2022;4.85;4.85;4.85;4.85;4.849881125739249;33649;163193.65;23/03/2022;4.85
23/03/2022;4.85;4.85;4.85;4.85;4.850221210972064;15822;76740.2;22/03/2022;4.83
22/03/2022;4.83;4.83;4.83;4.83;4.829999999999999;16688;80603.04;21/03/2022;4.78
21/03/2022;4.8;4.78;4.8;4.78;4.782792657848638;39389;188389.42;18/03/2022;4.8
18/03/2022;4.75;4.8;4.8;4.75;4.7704582095238095;65625;313061.32;17/03/2022;4.75
17/03/2022;4.75;4.75;4.75;4.75;4.75;65533;311281.75;16/03/2022;4.75
16/03/2022;4.74;4.75;4.75;4.74;4.749309758454106;25875;122888.39;15/03/2022;4.75
15/03/2022;4.75;4.75;4.75;4.75;4.75;72101;342479.75;14/03/2022;4.8
14/03/2022;4.8;4.8;4.82;4.79;4.802672155969617;79913;383795.94;11/03/2022;4.8
11/03/2022;4.81;4.8;4.81;4.79;4.802368331008344;37993;182456.38;10/03/2022;4.81
10/03/2022;4.83;4.81;4.83;4.8;4.825590114381061;206765;997763.14;09/03/2022;4.83
09/03/2022;4.85;4.83;4.9;4.82;4.84051430910083;131944;638676.82;08/03/2022;4.9
08/03/2022;4.9;4.9;4.9;4.9;4.9;156195;765355.5;07/03/2022;4.9
07/03/2022;4.9;4.9;4.92;4.9;4.909704605739088;16588;81442.18;04/03/2022;4.95
04/03/2022;4.98;4.95;4.98;4.95;4.976239563710784;85998;427946.65;03/03/2022;4.96
03/03/2022;4.93;4.96;4.96;4.93;4.934505819323849;27065;133552.4;02/03/2022;4.99
02/03/2022;5.02;4.99;5.02;4.99;4.999935467914867;218341;1091690.91;01/03/2022;5.05
01/03/2022;4.95;5.05;5.05;4.95;5.011286938275922;34314;171957.3;28/02/2022;4.95
28/02/2022;4.95;4.95;4.95;4.95;4.943269247965662;11183;55280.58;25/02/2022;4.96
25/02/2022;4.95;4.96;4.96;4.95;4.957870280735722;5165;25607.4;24/02/2022;4.9
24/02/2022;4.95;4.9;4.95;4.85;4.862554928236174;147010;714844.2;23/02/2022;5.05
23/02/2022;5.05;5.05;5.05;5.05;5.05;2000;10100;22/02/2022;5
22/02/2022;5;5;5;5;5.018479421387981;5807;29142.31;21/02/2022;5.06
21/02/2022;5.06;5.06;5.06;5.06;5.0600000000000005;3262;16505.72;18/02/2022;5.08
18/02/2022;5.08;5.08;5.08;5.08;5.082058;5000;25410.29;17/02/2022;5.11
17/02/2022;5.12;5.11;5.12;5.1;5.1188683936844095;211540;1082845.42;16/02/2022;5.12
16/02/2022;5.09;5.12;5.12;5.05;5.101714843831176;48121;245499.62;15/02/2022;5.1
15/02/2022;5;5.1;5.11;5;5.048797587417334;154689;780993.45;14/02/2022;4.95
14/02/2022;5.11;4.95;5.11;4.95;4.9633415896468;184909;917766.53;11/02/2022;5.11
11/02/2022;5.15;5.11;5.15;5.11;5.1293572951568684;9849;50519.04;10/02/2022;5.08
10/02/2022;5;5.08;5.1;5;5.060349082732333;36467;184535.75;09/02/2022;5
09/02/2022;5;5;5.05;5;5.001138586160036;375290;1876877.3;08/02/2022;5
08/02/2022;5;5;5;4.98;4.980955190478612;609491;3035847.36;07/02/2022;4.98
07/02/2022;4.88;4.98;4.98;4.86;4.869655060728745;135850;661542.64;04/02/2022;4.98
04/02/2022;5;4.98;5;4.98;5.000267257354645;69072;345378.46;03/02/2022;4.92
03/02/2022;4.91;4.92;4.92;4.9;4.900227488547134;599195;2936191.81;02/02/2022;4.92
02/02/2022;4.83;4.92;4.92;4.83;4.833987152753909;130923;632880.1;01/02/2022;4.84
01/02/2022;4.95;4.84;4.95;4.7;4.863203607581558;85154;414121.24;31/01/2022;5.03
31/01/2022;5;5.03;5.05;5;5.028472136286763;24243;121905.25;28/01/2022;5
28/01/2022;5;5;5;5;4.991514167650531;6776;33822.5;27/01/2022;4.9
27/01/2022;4.86;4.9;4.92;4.86;4.891100766475048;48012;234831.53;26/01/2022;4.84
26/01/2022;4.9;4.84;4.9;4.84;4.8511002589379;44026;213574.54;25/01/2022;4.85
25/01/2022;4.85;4.85;4.85;4.8;4.819731620367256;14867;71654.95;24/01/2022;4.85
24/01/2022;4.95;4.85;4.95;4.85;4.902605621163717;55718;273163.38;21/01/2022;5
21/01/2022;5;5;5;4.96;4.998583352318621;193132;965386.4;20/01/2022;4.96
20/01/2022;4.98;4.96;4.98;4.95;4.963066919853326;152720;757959.58;19/01/2022;4.98
19/01/2022;5;4.98;5.05;4.98;4.999027381631489;112192;560850.88;18/01/2022;5
18/01/2022;5.05;5;5.05;5;5.007253419726421;16668;83460.9;17/01/2022;5
17/01/2022;5.02;5;5.02;5;5.006022168894983;17502;87615.4;14/01/2022;4.96
14/01/2022;4.97;4.96;4.97;4.96;4.966270375083318;33006;163916.72;13/01/2022;4.96
13/01/2022;5;4.96;5;4.96;4.975135863928645;96420;479702.6;12/01/2022;4.96
12/01/2022;5;4.96;5.01;4.95;4.96826096127425;175413;871497.56;11/01/2022;4.94
11/01/2022;4.93;4.94;4.94;4.86;4.905095257345628;155841;764414.95;10/01/2022;5
10/01/2022;5.05;5;5.05;5;5.045911389495461;226226;1141516.35;07/01/2022;5.02
07/01/2022;5;5.02;5.05;5;5.028735785067034;188710;948972.73;06/01/2022;5
06/01/2022;4.95;5;5.03;4.95;4.9570374643159285;221037;1095688.69;05/01/2022;4.94
05/01/2022;4.95;4.94;4.99;4.93;4.95129987831555;568684;2815725.02;04/01/2022;4.92
04/01/2022;4.95;4.92;4.95;4.91;4.920097402968036;1401600;6896008.52;03/01/2022;4.89
