Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado ($);Fecha anterior;Cierre anterior corregido
03/05/2022;38;37.4;38.2;37;37.690768859966255;4149;156379;02/05/2022;39.4
02/05/2022;39.9;39.4;39.9;39;39.637213690215006;6837;270999.63;29/04/2022;40
29/04/2022;40;40;40;39.95;39.99669338677354;499;19958.35;28/04/2022;39.85
28/04/2022;39.95;39.85;39.95;39.85;39.94023026315789;3040;121418.3;27/04/2022;40
27/04/2022;40;40;40;40;40;7196;287840;26/04/2022;39.78
26/04/2022;40;39.78;40;39;39.62050523441056;17576;696370;25/04/2022;40
25/04/2022;41;40;41;39.75;40.62156520524993;21486;872794.95;22/04/2022;42.1
22/04/2022;42.15;42.1;42.15;42.09;42.137934483973225;14195;598147.98;21/04/2022;42.45
21/04/2022;42;42.45;42.5;41.9;42.28018079263368;74284;3140740.95;20/04/2022;42
20/04/2022;42.3;42;42.6;42;42.478006794386275;17956;762735.09;19/04/2022;42.54
19/04/2022;42.5;42.54;42.6;42.5;42.597606662510024;11227;478243.33;18/04/2022;42.59
18/04/2022;42.6;42.59;42.6;42.59;42.59971427787984;36469;1553568.98;13/04/2022;42.6
13/04/2022;42.6;42.6;42.6;42.6;42.6;28101;1197102.6;12/04/2022;42.6
12/04/2022;42.6;42.6;42.6;42.6;42.62935483870968;620;26430.2;11/04/2022;43.57
11/04/2022;45.45;44;45.45;44;45.04114158636027;2698;121521;08/04/2022;45.49
08/04/2022;45.5;45.49;45.5;45.49;45.49923473142016;2718;123666.92;06/04/2022;45.5
07/04/2022;;;;;;;;06/04/2022;45.5
06/04/2022;45.5;45.5;45.5;45;45.04997027348395;6728;303096.2;05/04/2022;46
05/04/2022;46;46;46.01;45.5;45.91778329197684;1209;55514.6;04/04/2022;46
04/04/2022;46;46;46;46;46;13047;600162;01/04/2022;45.5
01/04/2022;45.2;45.5;46;45.2;45.370836369658825;6038;273949.11;31/03/2022;45.2
31/03/2022;46;45.2;46;45.2;45.50445070422535;1775;80770.4;30/03/2022;46.5
30/03/2022;46.5;46.5;46.5;46.5;46.5;12636;587574;29/03/2022;46.4
29/03/2022;46.35;46.4;46.4;46.35;46.38623853211009;218;10112.2;28/03/2022;46.5
28/03/2022;46.5;46.5;46.5;46.4;46.49414715719063;4186;194624.5;25/03/2022;46.5
25/03/2022;45.5;46.5;46.5;45.5;46.38367066466767;16008;742509.8;24/03/2022;45.5
24/03/2022;46.8;45.5;46.8;45.5;46.21924686192469;3585;165696;23/03/2022;46.8
23/03/2022;47;46.8;47;46.8;46.943553008595984;698;32766.6;22/03/2022;45.8
22/03/2022;46;45.8;46;45.8;45.993320920175385;16649;765742.8;21/03/2022;45
21/03/2022;45.01;45;45.01;45;45.34011235955056;89;4035.27;18/03/2022;46
18/03/2022;47.1;46;47.1;46;46.07581081081081;740;34096.1;17/03/2022;47.1
17/03/2022;46.5;47.1;47.1;46.5;46.68729333471977;9617;448991.7;16/03/2022;46.49
16/03/2022;45.6;46.49;46.5;45.6;46.038430415446356;9219;424428.29;15/03/2022;45.6
15/03/2022;45.6;45.6;45.6;45.6;45.6;58;2644.8;14/03/2022;47.5
14/03/2022;48;47.5;48;46;47.51600838803793;5484;260577.79;11/03/2022;48
11/03/2022;46;48;48;45;47.51267701161237;48655;2311729.3;10/03/2022;47
10/03/2022;46.5;47;47;46.5;46.909365049634765;10678;500898.2;09/03/2022;46.5
09/03/2022;46.49;46.5;46.5;46.49;46.49568965517241;1624;75509;08/03/2022;46.89
08/03/2022;47;46.89;47;46.8;46.97119437609842;28450;1336330.48;07/03/2022;47.1
07/03/2022;47.1;47.1;47.1;47.1;47.099999999999994;183;8619.3;04/03/2022;47.1
04/03/2022;46.5;47.1;47.1;46.5;46.95056248901388;5689;267101.75;03/03/2022;46
03/03/2022;45.5;46;46;45;45.53228885715797;18909;860970.05;02/03/2022;45.3
02/03/2022;44.8;45.3;45.3;44.8;44.94686510449652;1579;70971.1;01/03/2022;45
01/03/2022;43.5;45;45;43.5;43.990786605904496;5047;222021.5;28/02/2022;43.5
28/02/2022;44;43.5;44;43.5;43.565447953281115;36131;1574063.2;25/02/2022;44.3
25/02/2022;43.8;44.3;44.3;43.8;43.98056521739131;9200;404621.2;24/02/2022;43
24/02/2022;41.8;43;43;38;40.488285548798146;24171;978642.35;23/02/2022;41.85
23/02/2022;41.85;41.85;41.85;41.5;41.84335548172758;10535;440819.75;22/02/2022;41.85
22/02/2022;41.85;41.85;41.85;41.85;41.85;1700;71145;21/02/2022;41.85
21/02/2022;41.85;41.85;41.85;41.85;41.85;250;10462.5;18/02/2022;42.21
18/02/2022;43.5;42.21;43.5;42.2;42.6796915433185;9661;412328.5;17/02/2022;44.05
17/02/2022;45.5;44.05;45.5;44.05;45.38982136164897;16010;726691.04;16/02/2022;45.5
16/02/2022;46.1;45.5;46.1;45;45.553877551020406;1225;55803.5;15/02/2022;46.5
15/02/2022;46.5;46.5;46.5;46.3;46.39052970557309;15216;705878.3;14/02/2022;46.5
14/02/2022;45;46.5;46.98;45;46.462783157530694;34698;1612165.65;10/02/2022;47
11/02/2022;;;;;47;20;940;10/02/2022;47
10/02/2022;46.45;47;47.01;46.45;46.95634580281938;45471;2135152;09/02/2022;46.5
09/02/2022;44.5;46.5;46.5;44.45;44.99304414414415;55500;2497113.95;08/02/2022;45
08/02/2022;43;45;45;43;43.924538171156314;136425;5992405.12;07/02/2022;43
07/02/2022;43;43;43;43;43;46000;1978000;04/02/2022;43
04/02/2022;42;43;43.3;42;43.02081800794468;67970;2924125;03/02/2022;42.7
03/02/2022;42;42.7;42.7;42;42.629551881140664;20865;889465.6;02/02/2022;43
02/02/2022;43;43;43;42.99;42.99988501189532;25220;1084457.1;01/02/2022;43
01/02/2022;42.5;43;43;42;42.86016458788736;15554;666647;31/01/2022;43
31/01/2022;42.75;43;43;42;42.882651920004406;36302;1556726.03;28/01/2022;42.3
28/01/2022;42.75;42.3;42.75;42.25;42.31598664434725;55557;2350949.27;27/01/2022;42.85
27/01/2022;42.9;42.85;42.9;42.8;42.81652695194463;10259;439254.75;26/01/2022;42.9
26/01/2022;43;42.9;43;42.75;42.88146893491124;13520;579757.46;25/01/2022;43
25/01/2022;42.75;43;43.2;42.7;42.9492183908046;13050;560487.3;24/01/2022;43.1
24/01/2022;43.5;43.1;43.5;42;43.04736089729492;4547;195736.35;21/01/2022;44
21/01/2022;42.95;44;44;42.95;43.39111919562965;84936;3685468.1;20/01/2022;42.95
20/01/2022;42.35;42.95;43;42;42.0136534958226;31838;1337630.7;19/01/2022;43.5
19/01/2022;44.5;43.5;44.5;40.44;42.469290957463855;31197;1324914.47;18/01/2022;44.5
18/01/2022;45.45;44.5;45.45;44.5;45.00816326530612;980;44108;17/01/2022;46.1
17/01/2022;46.1;46.1;46.1;46.02;46.097145026575554;1317;60709.94;14/01/2022;47.5
14/01/2022;45;47.5;47.5;45;47.227343462865846;111555;5268446.3;13/01/2022;46.2
13/01/2022;47.5;46.2;47.5;46.2;46.83931623931624;4563;213727.8;12/01/2022;47.5
12/01/2022;44.9;47.5;47.5;44.9;46.60847916098186;84289;3928582.1;11/01/2022;45
11/01/2022;45;45;45;45;45;10000;450000;10/01/2022;45
10/01/2022;43.75;45;45;43.7;44.47122034105602;114468;5090531.65;07/01/2022;43.75
07/01/2022;43.5;43.75;43.75;43;43.638580647699996;25413;1108987.25;06/01/2022;43.75
06/01/2022;38.2;43.75;43.75;38;43.469430261087325;590990;25689998.59;05/01/2022;38.1
05/01/2022;37.2;38.1;38.2;37.2;37.99307240744952;48379;1838066.85;04/01/2022;37.2
04/01/2022;37.2;37.2;37.2;37.2;37.199999999999996;10909;405814.8;03/01/2022;37.2
03/01/2022;37;37.2;37.2;37;37.05238095238095;5418;200749.8;31/12/2021;37.23
31/12/2021;37;37.23;37.23;36.5;36.78156499347164;27572;1014141.31;30/12/2021;38.01
30/12/2021;38.2;38.01;38.4;38.01;38.332994620114185;18216;698273.83;29/12/2021;38
29/12/2021;38;38;38.01;38;38.00004156275977;12030;457140.5;28/12/2021;38
28/12/2021;38;38;38.05;37.9;38.00123097244936;15898;604143.57;27/12/2021;38
27/12/2021;37;38;38;37;37.73379847884845;31818;1200614;24/12/2021;37
24/12/2021;37;37;37;37;37;190;7030;23/12/2021;37
23/12/2021;35;37;37.01;35;36.93319232275754;12765;471452.2;22/12/2021;37
22/12/2021;37;37;37;37;37.054627659574464;940;34831.35;21/12/2021;38
21/12/2021;36.62;38;38;36.62;36.65509689274975;11972;438834.82;20/12/2021;36.62
20/12/2021;37.8;38.05;38.05;37.7;38.001916234031384;34286;1302933.7;17/12/2021;38
17/12/2021;38.1;38;38.19;38;38.07329879663616;21523;819451.61;16/12/2021;38.2
16/12/2021;38;38.2;38.2;38;38.058123930620326;29807;1134398.5;15/12/2021;38.4
