Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
03/05/2022;2.32;2.3;2.34;2.28;2.310330286446204;171760;396822.33;02/05/2022;2.32
02/05/2022;2.32;2.32;2.32;2.31;2.3112838398046436;242429;560322.23;29/04/2022;2.35
29/04/2022;2.35;2.35;2.35;2.33;2.3499120624557563;1592039;3741151.65;28/04/2022;2.35
28/04/2022;2.35;2.35;2.4;2.35;2.3518537705829177;582947;1371006.1;27/04/2022;2.31
27/04/2022;2.27;2.31;2.31;2.27;2.309050351350235;677956;1565434.54;26/04/2022;2.27
26/04/2022;2.15;2.27;2.32;2.1;2.1204411426768326;1166244;2472951.76;25/04/2022;2.15
25/04/2022;2.3;2.15;2.3;2.1;2.1259297358825457;518330;1101933.16;22/04/2022;2.34
22/04/2022;2.36;2.34;2.36;2.32;2.323302925737935;553809;1286666.07;21/04/2022;2.37
21/04/2022;2.4;2.37;2.41;2.37;2.3998433340139975;2590607;6217050.94;20/04/2022;2.4
20/04/2022;2.36;2.4;2.4;2.36;2.3931311584881625;1361231;3257604.32;19/04/2022;2.36
19/04/2022;2.31;2.36;2.36;2.3;2.344962189410332;2663804;6246519.66;18/04/2022;2.31
18/04/2022;2.45;2.44;2.45;2.38;2.390818265492094;764874;1828674.73;13/04/2022;2.45
13/04/2022;2.53;2.45;2.53;2.42;2.4857708172395205;2912610;7240080.94;12/04/2022;2.53
12/04/2022;2.59;2.53;2.6;2.53;2.5772153812862233;383557;988509;11/04/2022;2.58
11/04/2022;2.55;2.58;2.58;2.55;2.5673865092564823;73354;188328.07;08/04/2022;2.55
08/04/2022;2.52;2.55;2.55;2.51;2.5246352112425585;5566989;14054616.45;07/04/2022;2.55
07/04/2022;2.58;2.55;2.6;2.55;2.574277474331423;134016;344994.37;06/04/2022;2.58
06/04/2022;2.6;2.58;2.6;2.58;2.5897520392713633;190877;494324.1;05/04/2022;2.58
05/04/2022;2.57;2.58;2.58;2.57;2.570116659453821;901170;2316112.03;04/04/2022;2.57
04/04/2022;2.55;2.57;2.58;2.55;2.551225821225821;999999;2551223.27;01/04/2022;2.55
01/04/2022;2.55;2.55;2.57;2.54;2.5500419709259217;222535;567473.59;31/03/2022;2.53
31/03/2022;2.61;2.53;2.61;2.53;2.558088648292982;334355;855309.73;30/03/2022;2.59
30/03/2022;2.56;2.59;2.59;2.56;2.569707528904409;199883;513640.85;29/03/2022;2.55
29/03/2022;2.52;2.55;2.55;2.52;2.5470352560039817;749461;1908903.59;28/03/2022;2.52
28/03/2022;2.5;2.52;2.52;2.5;2.501098998768539;186770;467130.26;25/03/2022;2.5
25/03/2022;2.47;2.5;2.5;2.47;2.4707319431476544;1655798;4091033.01;24/03/2022;2.47
24/03/2022;2.47;2.47;2.48;2.47;2.470186155260934;537186;1326949.42;23/03/2022;2.45
23/03/2022;2.46;2.45;2.47;2.45;2.4506336207323858;1109607;2719240.22;22/03/2022;2.47
22/03/2022;2.48;2.47;2.48;2.45;2.4560430723455298;1464002;3595651.97;21/03/2022;2.48
21/03/2022;2.45;2.48;2.48;2.45;2.4653571085148327;166392;410215.7;18/03/2022;2.45
18/03/2022;2.42;2.45;2.45;2.41;2.4488860687466607;1961288;4802970.86;17/03/2022;2.41
17/03/2022;2.44;2.41;2.44;2.41;2.4193246442825895;177388;429159.16;16/03/2022;2.41
16/03/2022;2.4;2.41;2.41;2.4;2.4001697272958946;1420514;3409474.7;15/03/2022;2.4
15/03/2022;2.4;2.4;2.4;2.4;2.400455621969099;44335;106424.2;14/03/2022;2.4
14/03/2022;2.44;2.4;2.44;2.4;2.421565191772432;128981;312335.9;11/03/2022;2.44
11/03/2022;2.41;2.44;2.45;2.41;2.4246984014184596;284252;689225.37;10/03/2022;2.41
10/03/2022;2.41;2.41;2.41;2.4;2.402821917781748;1034977;2486865.42;09/03/2022;2.4
09/03/2022;2.34;2.4;2.42;2.33;2.3882781247259866;205282;490270.51;08/03/2022;2.31
08/03/2022;2.33;2.31;2.33;2.31;2.329023235207392;674881;1571813.53;07/03/2022;2.33
07/03/2022;2.37;2.33;2.37;2.33;2.3473070171589066;45574;106976.17;04/03/2022;2.37
04/03/2022;2.4;2.37;2.4;2.36;2.3750215718811285;165725;393600.45;03/03/2022;2.4
03/03/2022;2.36;2.4;2.42;2.36;2.388312396068294;121474;290117.86;02/03/2022;2.36
02/03/2022;2.35;2.36;2.37;2.35;2.3642305221155144;59144;139830.05;01/03/2022;2.37
01/03/2022;2.38;2.37;2.39;2.37;2.3801948369869446;598449;1424425.22;28/02/2022;2.36
28/02/2022;2.4;2.36;2.4;2.32;2.3601492204121044;743598;1755002.24;25/02/2022;2.38
25/02/2022;2.4;2.38;2.4;2.38;2.3889400224564907;64124;153188.39;24/02/2022;2.37
24/02/2022;2.36;2.37;2.37;2.25;2.333205633985095;463615;1081709.13;23/02/2022;2.42
23/02/2022;2.42;2.42;2.42;2.41;2.412022524636321;78847;190180.74;22/02/2022;2.42
22/02/2022;2.42;2.42;2.42;2.42;2.42;37504;90759.68;21/02/2022;2.42
21/02/2022;2.42;2.42;2.42;2.42;2.4200864094595618;65965;159641;18/02/2022;2.42
18/02/2022;2.4;2.42;2.42;2.39;2.400698610289486;1147793;2755505.06;17/02/2022;2.41
17/02/2022;2.41;2.41;2.41;2.4;2.4099724896166563;821508;1979811.68;16/02/2022;2.41
16/02/2022;2.46;2.41;2.49;2.41;2.465337109193528;202338;498831.38;15/02/2022;2.45
15/02/2022;2.42;2.45;2.45;2.4;2.4304781898583996;129802;315480.93;14/02/2022;2.42
14/02/2022;2.41;2.42;2.42;2.37;2.3849493030838285;1013967;2418259.89;11/02/2022;2.46
11/02/2022;2.45;2.46;2.46;2.42;2.4419749834140965;257749;629416.61;10/02/2022;2.45
10/02/2022;2.47;2.45;2.47;2.45;2.465004621926419;59499;146665.31;09/02/2022;2.46
09/02/2022;2.45;2.46;2.47;2.45;2.4536110845561874;167368;410655.98;08/02/2022;2.5
08/02/2022;2.38;2.5;2.5;2.37;2.453395597021033;916425;2248353.06;07/02/2022;2.37
07/02/2022;2.45;2.37;2.45;2.37;2.403594656504892;607243;1459566.03;04/02/2022;2.45
04/02/2022;2.45;2.45;2.45;2.42;2.4460772658168635;855100;2091640.67;03/02/2022;2.45
03/02/2022;2.5;2.45;2.5;2.45;2.4827210300429186;52425;130156.65;02/02/2022;2.51
02/02/2022;2.5;2.51;2.51;2.5;2.5008192483947846;620166;1550923.07;01/02/2022;2.5
01/02/2022;2.52;2.5;2.52;2.43;2.4912808523983423;385829;961208.4;31/01/2022;2.56
31/01/2022;2.55;2.56;2.56;2.54;2.5579466573532006;578374;1479449.84;28/01/2022;2.6
28/01/2022;2.58;2.6;2.62;2.58;2.6020370220302196;2628435;6839285.18;27/01/2022;2.63
27/01/2022;2.45;2.63;2.63;2.45;2.5702214023510805;3500008;8995795.47;26/01/2022;2.42
26/01/2022;2.45;2.42;2.45;2.4;2.4280794318186505;1454606;3531898.91;25/01/2022;2.45
25/01/2022;2.4;2.45;2.45;2.37;2.447068082610866;2061569;5044799.7;24/01/2022;2.45
24/01/2022;2.48;2.45;2.48;2.36;2.426294548074369;523283;1269638.69;21/01/2022;2.5
21/01/2022;2.54;2.5;2.54;2.5;2.5101149051377094;3153993;7916884.84;20/01/2022;2.54
20/01/2022;2.5;2.54;2.56;2.5;2.5391675813786403;2007007;5096127.11;19/01/2022;2.51
19/01/2022;2.45;2.51;2.51;2.45;2.496775662726478;3826805;9554673.59;18/01/2022;2.46
18/01/2022;2.42;2.46;2.46;2.41;2.442946203613069;690604;1687108.42;17/01/2022;2.45
17/01/2022;2.4;2.45;2.45;2.4;2.441348063328226;930075;2270636.8;14/01/2022;2.4
14/01/2022;2.42;2.4;2.42;2.38;2.4052751233120793;307553;739749.58;13/01/2022;2.45
13/01/2022;2.45;2.45;2.46;2.45;2.450040042573264;2497342;6118587.9;12/01/2022;2.45
12/01/2022;2.4;2.45;2.46;2.4;2.4476152913594342;2058025;5037253.46;11/01/2022;2.4
11/01/2022;2.27;2.4;2.43;2.27;2.3853910318260367;11110400;26502648.52;10/01/2022;2.27
10/01/2022;2.27;2.27;2.28;2.26;2.266255069106587;2686864;6089119.16;07/01/2022;2.27
07/01/2022;2.27;2.27;2.29;2.27;2.2791445582123395;2862065;6523059.87;06/01/2022;2.28
06/01/2022;2.25;2.28;2.28;2.25;2.2613676078090093;2870377;6490977.57;05/01/2022;2.26
05/01/2022;2.25;2.26;2.28;2.25;2.2554703482007357;851348;1920190.17;04/01/2022;2.26
04/01/2022;2.17;2.26;2.27;2.17;2.240858994634778;4060037;9097970.43;03/01/2022;2.17
03/01/2022;2.05;2.17;2.17;2.05;2.127051987934914;2339312;4975838.24;31/12/2021;2.05
31/12/2021;2.03;2.05;2.05;2.03;2.0389744483834096;103242;210507.8;30/12/2021;2.05
30/12/2021;2.02;2.05;2.05;2.02;2.0267374055363376;1446588;2931854.01;29/12/2021;2.02
29/12/2021;2.01;2.02;2.03;2.01;2.020625608453606;105801;213784.21;28/12/2021;2.01
28/12/2021;2.01;2.01;2.02;2;2.0171309803375257;200992;405427.19;27/12/2021;2
27/12/2021;1.97;2;2.02;1.97;1.9999335731277037;6733269;13466090.73;24/12/2021;1.95
24/12/2021;1.95;1.95;1.95;1.95;1.95;532200;1037790;23/12/2021;1.94
23/12/2021;1.93;1.94;1.94;1.93;1.9317832404577866;333780;644790.61;22/12/2021;1.93
22/12/2021;1.91;1.93;1.93;1.91;1.9206726978998385;30950;59444.82;21/12/2021;1.91
21/12/2021;1.92;1.91;1.92;1.91;1.914930826534232;28190;53981.9;20/12/2021;1.92
20/12/2021;1.94;1.92;1.94;1.91;1.9188812949640288;41700;80017.35;17/12/2021;1.94
17/12/2021;1.94;1.94;1.95;1.92;1.935666426366664;196976;381279.83;16/12/2021;1.94
16/12/2021;1.89;1.94;1.94;1.89;1.9247166260934836;389009;748732.09;15/12/2021;1.89
15/12/2021;1.91;1.89;1.91;1.89;1.9000592966915288;1408173;2675612.2;14/12/2021;1.89
14/12/2021;1.89;1.89;1.9;1.88;1.8807352113377191;2089168;3929171.82;13/12/2021;1.88
13/12/2021;1.85;1.88;1.91;1.85;1.85517354631204;868068;1610416.79;10/12/2021;1.85
10/12/2021;1.82;1.85;1.86;1.82;1.8497016484601212;3160768;5846477.78;09/12/2021;1.85
09/12/2021;1.85;1.85;1.85;1.81;1.8309485664916845;106487;194972.22;07/12/2021;1.85
07/12/2021;1.92;1.85;1.92;1.85;1.8800687145001047;1316025;2474217.43;06/12/2021;1.92
06/12/2021;1.77;1.92;1.92;1.77;1.8981901978545554;5432627;10312159.32;03/12/2021;1.75
03/12/2021;1.82;1.75;1.82;1.74;1.7568354038237994;351849;618140.78;02/12/2021;1.82
02/12/2021;1.82;1.82;1.82;1.82;1.82;1460599;2658290.18;01/12/2021;1.82
01/12/2021;1.9;1.82;1.9;1.82;1.841661665375158;819455;1509158.86;30/11/2021;1.89
30/11/2021;1.86;1.89;1.92;1.86;1.901302034066771;1020173;1939657;29/11/2021;1.86
29/11/2021;1.82;1.86;1.86;1.82;1.8429422624434388;55250;101822.56;26/11/2021;1.82
26/11/2021;1.86;1.82;1.86;1.79;1.8102918820387315;393892;713059.49;25/11/2021;1.89
25/11/2021;1.89;1.89;1.89;1.89;1.89;24100;45549;24/11/2021;1.88
24/11/2021;1.89;1.88;1.89;1.88;1.8875984634218415;47378;89430.64;23/11/2021;1.88
23/11/2021;1.85;1.88;1.88;1.85;1.8532230011753072;654297;1212558.25;22/11/2021;1.86
22/11/2021;1.88;1.86;1.88;1.83;1.8483722917123837;341775;631727.44;19/11/2021;1.91
