Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado ($);Fecha anterior;Cierre anterior corregido
03/05/2022;26.77;26.83;27;26.77;26.82797385620915;612;16418.72;02/05/2022;26.24
02/05/2022;26.6;26.24;26.6;26.24;26.377142857142857;210;5539.2;29/04/2022;27.5
29/04/2022;27.88;27.5;28.13;27.5;27.5939955654102;2255;62224.46;27/04/2022;27.5
28/04/2022;;;;;;;;27/04/2022;27.5
27/04/2022;27.7;27.5;27.93;27.5;27.69309210526316;1520;42093.5;26/04/2022;28.45
26/04/2022;30.2;30.2;30.6;30.2;30.385549160671463;2085;63353.87;25/04/2022;30.2
25/04/2022;31.55;30.2;31.55;30.18;30.558735747820254;2982;91126.15;22/04/2022;31.53
22/04/2022;31.9;31.53;31.9;31.36;31.569977703455965;1794;56636.54;21/04/2022;31.47
21/04/2022;31.92;31.47;31.92;31.47;31.810426212722383;7813;248534.86;20/04/2022;31.91
20/04/2022;32.3;31.91;32.3;31.9;32.09953338863542;4822;154783.95;19/04/2022;31.95
19/04/2022;32.06;31.95;32.06;31.95;31.971252868288207;2179;69665.36;18/04/2022;31.9
18/04/2022;32.81;31.9;32.81;31.9;32.318138447146865;3207;103644.27;13/04/2022;31.9
13/04/2022;32.4;31.9;32.4;31.9;32.253871078938296;2901;93568.48;12/04/2022;32.66
12/04/2022;32.96;32.66;32.96;32;32.77424684159378;1029;33724.7;11/04/2022;33
11/04/2022;33.4;33;33.45;33;33.21666666666667;1200;39860;08/04/2022;33.45
08/04/2022;33.7;33.45;33.7;33.4;33.601332963065815;3601;120998.4;07/04/2022;33.9
07/04/2022;34.85;33.9;34.85;33.9;34.14396449704142;338;11540.66;06/04/2022;34.76
06/04/2022;35.82;34.76;35.82;34.45;34.76800212539852;4705;163583.45;05/04/2022;36.35
05/04/2022;36.49;36.35;36.5;36.35;36.46770163934426;3050;111226.49;04/04/2022;36.44
04/04/2022;34.85;36.44;36.5;34.85;35.99784825234442;5865;211127.38;01/04/2022;34.46
01/04/2022;34.5;34.46;34.5;34.46;34.452315978456014;557;19189.94;31/03/2022;33.95
31/03/2022;33.75;33.95;33.98;33.26;33.66454615384615;2600;87527.82;30/03/2022;34.18
30/03/2022;34.18;34.18;34.18;34.18;34.18;39;1333.02;29/03/2022;33.75
29/03/2022;34.2;33.75;34.2;33.75;33.85510204081633;1078;36495.8;28/03/2022;33.7
28/03/2022;34.1;33.7;34.1;33.7;34.0013986013986;715;24311;25/03/2022;34.25
25/03/2022;34.15;34.25;34.25;34.15;34.238430678466074;1695;58034.14;24/03/2022;34.08
24/03/2022;34.35;34.08;34.35;34.08;34.126985294117645;408;13923.81;23/03/2022;34.35
23/03/2022;34.16;34.35;34.4;34.04;34.25221122112211;2121;72648.94;22/03/2022;34.3
22/03/2022;33.9;34.3;34.5;33.9;34.305180327868854;1525;52315.4;21/03/2022;34.39
21/03/2022;33.82;34.39;34.81;33.82;34.4163890256771;14215;489228.97;18/03/2022;33.6
18/03/2022;33.39;33.6;33.6;33.39;33.49347222222222;432;14469.18;17/03/2022;33.29
17/03/2022;33.29;33.29;33.3;33;33.11231478068559;2713;89833.71;16/03/2022;33
16/03/2022;33;33;33;32.93;32.98077223088924;1282;42281.35;15/03/2022;32.67
15/03/2022;32.67;32.67;32.67;32.67;32.67;250;8167.5;14/03/2022;33.03
14/03/2022;33.26;33.03;33.4;32.78;33.12247516556291;1208;40011.95;11/03/2022;33.49
11/03/2022;33.2;33.49;33.5;33.2;33.43941093969144;713;23842.3;10/03/2022;33.56
10/03/2022;32.79;33.56;33.56;32.32;32.693201542163685;38647;1263494.16;09/03/2022;33.27
09/03/2022;33;33.27;33.56;32.55;33.127850496471616;16013;530476.27;08/03/2022;32.55
08/03/2022;32.26;32.55;32.55;32.26;32.47643835616438;365;11853.9;07/03/2022;31.8
07/03/2022;33.6;31.8;33.6;31.8;32.60760456273764;263;8575.8;04/03/2022;33.31
04/03/2022;31.9;33.31;33.32;31.9;32.90807129401536;6901;227098.6;03/03/2022;32.3
03/03/2022;32.1;32.3;32.3;32.1;32.27319347319347;1287;41535.6;02/03/2022;32.1
02/03/2022;32.5;32.1;32.5;32;32.241025641025644;780;25148;01/03/2022;32.11
01/03/2022;32.1;32.11;32.15;32.08;32.114522292993634;6280;201679.2;28/02/2022;32
28/02/2022;32;32;32;31.7;31.922259136212627;602;19217.2;25/02/2022;32.15
25/02/2022;31.1;32.15;32.15;30.65;30.799392761164157;34978;1077301.16;24/02/2022;31
24/02/2022;30.5;31;31;30;30.399244186046513;2408;73201.38;23/02/2022;31.17
23/02/2022;31.2;31.17;31.39;31.17;31.355777166437413;3635;113978.25;22/02/2022;31.62
22/02/2022;32.05;31.62;32.05;31.2;31.627585937499997;6400;202416.55;21/02/2022;31.1
21/02/2022;31.1;31.1;31.1;31.1;31.1;1000;31100;18/02/2022;31.7
18/02/2022;32.5;31.7;32.5;31.7;32.383870967741935;310;10039;17/02/2022;33
17/02/2022;32;33;33;31.8;32.070037359900375;4015;128761.2;16/02/2022;32.4
16/02/2022;32.4;32.4;32.4;32.4;32.4;400;12960;15/02/2022;33.13
15/02/2022;32.35;33.13;33.18;32.35;32.97832705479452;11680;385186.86;14/02/2022;32.33
14/02/2022;31.65;32.33;32.6;31.14;32.173651579846286;5855;188376.73;11/02/2022;32.43
