Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado ($);Fecha anterior;Cierre anterior corregido
03/05/2022;36.4;36.4;36.65;36.4;36.404826678367705;2279;82966.6;02/05/2022;36.4
02/05/2022;37;36.4;37;36;36.401966491551896;14086;512758.1;29/04/2022;36.4
29/04/2022;36.4;36.4;36.4;36.4;36.40004799856004;100003;3640114;28/04/2022;36.4
28/04/2022;36;36.4;36.4;36;36.39491825011047;4526;164723.4;27/04/2022;36.4
27/04/2022;36.4;36.4;36.4;36.4;36.42033898305085;118;4297.6;26/04/2022;36.4
26/04/2022;36.4;36.4;36.4;36.3;36.39820990180033;9776;355828.9;25/04/2022;36.46
25/04/2022;36.9;36.46;36.9;36.46;36.756931243320274;14035;515883.53;22/04/2022;37.2
22/04/2022;36.6;37.2;37.2;36.6;37.1403721690192;110165;4091569.1;21/04/2022;36.6
21/04/2022;36.5;36.6;36.6;36.5;36.511638374745175;49543;1808896.1;20/04/2022;36.5
20/04/2022;36.5;36.5;36.5;36.5;36.5;2724;99426;19/04/2022;36.5
19/04/2022;36.5;36.5;36.5;36.5;36.5;108968;3977332;18/04/2022;36.5
18/04/2022;36.5;36.5;36.5;35.85;36.491699466456744;11433;417209.6;13/04/2022;36.5
13/04/2022;36.5;36.5;36.5;36.5;36.500028597574925;17484;638166.5;12/04/2022;36.5
12/04/2022;37;36.5;37.01;36.5;36.690192979640216;161986;5943297.6;11/04/2022;37.5
11/04/2022;37;37.5;37.5;37;37.00043820320457;246461;9119165;08/04/2022;37
08/04/2022;37.3;37;37.3;37;37.165886889460154;3890;144575.3;07/04/2022;37.3
07/04/2022;37.3;37.3;37.3;37.3;37.3;2844;106081.2;06/04/2022;37.3
06/04/2022;37.3;37.3;37.3;37.3;37.300265627766954;28235;1053173;05/04/2022;37.5
05/04/2022;37.75;37.5;37.75;37.5;37.5133679169992;1253;47004.25;04/04/2022;37.75
04/04/2022;37.75;37.75;37.75;37.6;37.748376346780255;19955;753268.85;01/04/2022;37.75
01/04/2022;37.7;37.75;37.75;37.7;37.749598393574296;6225;234991.25;31/03/2022;37.52
31/03/2022;37.65;37.52;38.3;37.52;37.64658322289304;20373;766973.84;30/03/2022;37.5
30/03/2022;36.95;37.5;37.7;36.95;37.22526429503207;367960;13697408.25;29/03/2022;37
29/03/2022;37;37;37;37;37;250;9250;25/03/2022;37
28/03/2022;;;;;37;22;814;25/03/2022;37
25/03/2022;36.9;37;37;36.9;36.98121117381948;49258;1821620.5;24/03/2022;36.9
24/03/2022;36.81;36.9;37;36.81;36.98988261751961;91155;3371812.75;23/03/2022;36.8
23/03/2022;36.8;36.8;36.8;36.8;36.800000000000004;2852;104953.6;22/03/2022;36.8
22/03/2022;37;36.8;37;36.8;36.984132116872615;8659;320245.6;21/03/2022;37
21/03/2022;36.9;37;37;36.9;36.901902977716425;10142;374259.1;18/03/2022;36.9
18/03/2022;37;36.9;37.05;36.9;36.94728571428571;700;25863.1;17/03/2022;37
17/03/2022;37;37;37;37;37;539;19943;16/03/2022;37
16/03/2022;37;37;37;37;37;2065;76405;15/03/2022;36.5
15/03/2022;36.42;36.5;36.5;36.2;36.20419935753918;123276;4463108.88;14/03/2022;36.42
14/03/2022;36.42;36.42;36.42;36.42;36.431063829787234;94;3424.52;11/03/2022;36.4
11/03/2022;36.4;36.4;36.4;36.4;36.464285714285715;56;2042;10/03/2022;36.31
10/03/2022;37.25;36.31;37.25;36.3;36.49811531437516;38330;1398972.76;09/03/2022;37.25
09/03/2022;37;37.25;37.25;37;37.16542625169148;1478;54930.5;08/03/2022;36.5
08/03/2022;36.5;36.5;36.6;36.5;36.50044648934143;36731;1340697.9;07/03/2022;36.5
07/03/2022;36.5;36.5;36.5;36.5;36.5;1500;54750;04/03/2022;36.5
04/03/2022;36.5;36.5;36.5;36.5;36.5;968;35332;03/03/2022;36.5
03/03/2022;36.3;36.5;36.5;36.3;36.49494643360586;14188;517790.3;02/03/2022;36.5
02/03/2022;37.01;36.5;37.01;36.5;36.72816319895969;6152;225951.66;01/03/2022;36.99
01/03/2022;36;36.99;37.7;36;36.762965034965035;15015;551995.92;28/02/2022;35.39
28/02/2022;35.19;35.39;35.39;35.19;35.274589371980674;4140;146036.8;25/02/2022;35.19
25/02/2022;34;35.19;35.19;34;34.5308620190917;3457;119373.19;24/02/2022;33.5
24/02/2022;33.99;33.5;33.99;33.5;33.85488023952096;1336;45230.12;23/02/2022;34.2
23/02/2022;34.5;34.2;34.5;34.2;34.2003277972028;36608;1252005.6;22/02/2022;34.5
22/02/2022;34.85;34.5;34.9;34.5;34.6506331830865;4659;161437.3;21/02/2022;34.8
21/02/2022;35;34.8;35;34.8;34.84830917874396;207;7213.6;18/02/2022;35
18/02/2022;35;35;35;35;35;3366;117810;17/02/2022;34.61
17/02/2022;35;34.61;35;34.61;34.97922279594569;26145;914531.78;16/02/2022;35
16/02/2022;35;35;35;35;35;9520;333200;15/02/2022;35
15/02/2022;34.7;35;35;34.7;34.8858846918489;1006;35095.2;14/02/2022;34.5
14/02/2022;35.3;34.5;35.3;34.5;35.01426567431711;25663;898571.1;11/02/2022;35.3
11/02/2022;35;35.3;35.35;35;35.293055555555554;648;22869.9;10/02/2022;34.99
10/02/2022;34.62;34.99;35.62;34.62;34.878019619865114;30989;1080834.95;09/02/2022;34.5
09/02/2022;34;34.5;34.51;34;34.49669265016936;67607;2332217.9;08/02/2022;34
08/02/2022;34;34;34.14;34;33.988122047623634;10373;352558.79;07/02/2022;33.75
07/02/2022;34;33.75;34;33.5;33.527730080619826;9551;320223.35;04/02/2022;34
04/02/2022;34;34;34;34;34;67;2278;03/02/2022;34
03/02/2022;34.5;34;34.5;34;34.05961251862891;2013;68562;02/02/2022;34.5
02/02/2022;34;34.5;34.5;34;34.21075541851818;11027;377242;01/02/2022;34
01/02/2022;34.9;34;34.9;34;34.33218884120171;233;7999.4;31/01/2022;35
31/01/2022;34.9;35;35;34.15;34.24822722442276;10351;354503.4;28/01/2022;34.9
28/01/2022;34.9;34.9;34.9;34.9;34.9;70;2443;27/01/2022;35
27/01/2022;35;35;35.5;35;35.02187902187902;777;27212;26/01/2022;35
26/01/2022;35;35;35;35;35;4042;141470;25/01/2022;35.6
25/01/2022;35.7;35.6;35.7;35.6;35.60053489178347;20191;718810.4;24/01/2022;35.6
24/01/2022;35.5;35.6;35.6;35;35.18889136738791;8966;315503.6;21/01/2022;35.5
21/01/2022;36;35.5;36.5;35.5;35.85176708756519;14572;522431.95;20/01/2022;36.01
20/01/2022;36.3;36.01;36.3;36;36.044958333333334;2400;86507.9;19/01/2022;36.6
19/01/2022;36.6;36.6;36.6;36.6;36.599999999999994;3863;141385.8;18/01/2022;36.6
18/01/2022;36.6;36.6;36.6;36.6;36.6;2361;86412.6;17/01/2022;36.6
17/01/2022;36.6;36.6;36.6;36.6;36.637735849056604;159;5825.4;14/01/2022;36.6
14/01/2022;36.6;36.6;36.6;36.6;36.61309523809524;84;3075.5;13/01/2022;36.7
13/01/2022;36.7;36.7;36.72;36.7;36.70836642284918;2871;105389.72;12/01/2022;36.6
12/01/2022;36;36.6;36.6;36;36.43513198281154;1629;59352.83;11/01/2022;36.4
11/01/2022;36.43;36.4;36.9;36.4;36.562835678055315;31347;1146135.21;10/01/2022;36.9
10/01/2022;36.9;36.9;36.9;36.9;36.9;15364;566931.6;07/01/2022;36.9
07/01/2022;36.9;36.9;37;36.8;36.88391724249404;123735;4563831.5;06/01/2022;37
06/01/2022;36.8;37;37;36.8;36.80141437806412;23049;848235.8;05/01/2022;36.8
05/01/2022;36.8;36.8;37;36.8;36.80232822420836;24727;910011.17;04/01/2022;36
04/01/2022;35;36;36;35;35.81431411953849;42296;1514802.23;03/01/2022;35
03/01/2022;35;35;35;35;35.07301587301587;63;2209.6;31/12/2021;34.95
31/12/2021;34.95;34.95;34.95;34.95;34.95;100;3495;30/12/2021;34.5
30/12/2021;34.5;34.5;35;34.5;34.50313129053903;17884;617054;29/12/2021;34.5
29/12/2021;34.4;34.5;34.5;34.4;34.49819967266776;2444;84313.6;28/12/2021;34
28/12/2021;33.75;34;34.2;33.75;34.00224732750243;16464;559813;27/12/2021;34
27/12/2021;33.71;34;34.6;33.71;33.85352405965669;10661;360912.42;24/12/2021;33.71
24/12/2021;33.71;33.71;33.71;33.71;33.71;147;4955.37;23/12/2021;33.51
23/12/2021;33.03;33.51;33.51;33.03;33.0612034052401;12099;400007.5;22/12/2021;33.01
22/12/2021;33;33.01;33.01;32.75;32.974058867641546;16002;527650.89;21/12/2021;32.71
21/12/2021;32.7;32.71;32.71;32.7;32.718385650224214;1115;36481;17/12/2021;32.7
20/12/2021;;;;;;;;17/12/2021;32.7
17/12/2021;33.1;32.7;33.54;32.7;33.320788493643256;7787;259468.98;16/12/2021;33.1
16/12/2021;33.1;33.1;33.1;33.1;33.1;393;13008.3;15/12/2021;33
15/12/2021;33;33;33;33;33;4212;138996;14/12/2021;33.5
14/12/2021;33.8;33.5;33.8;33.5;33.5205047318612;951;31878;13/12/2021;33.8
13/12/2021;34.5;33.8;34.5;33.8;34.31914326792963;11824;405789.55;10/12/2021;34.5
10/12/2021;35.5;34.5;35.5;34.5;34.8824670979255;4483;156378.1;09/12/2021;35.3
09/12/2021;35;35.3;35.3;35;35.167501331912625;3754;132018.8;07/12/2021;34.1
07/12/2021;35.49;34.1;35.49;34.1;34.625588768115946;18768;649853.05;06/12/2021;35
06/12/2021;35;35;35;35;35;3275;114625;03/12/2021;34.5
03/12/2021;34.3;34.5;34.5;34.3;34.39179586563308;7740;266192.5;02/12/2021;34.3
02/12/2021;34.5;34.3;34.5;34.25;34.44907187515145;20633;710787.7;01/12/2021;34.5
01/12/2021;35.2;34.5;35.2;34.5;34.82364841498559;8675;302095.15;30/11/2021;35.27
30/11/2021;35.6;35.27;36;35.27;35.630158740117956;15938;567873.47;29/11/2021;35
29/11/2021;35;35;35;35;35;2718;95130;26/11/2021;35
26/11/2021;35.15;35;35.15;35;35.06;250;8765;25/11/2021;36
25/11/2021;36.19;36;36.19;36;36.18246894103727;5071;183481.3;24/11/2021;35.8
24/11/2021;36;35.8;36;35.8;35.9375935828877;3740;134406.6;23/11/2021;36.1
23/11/2021;36;36.1;36.1;36;36.05153857871887;13129;473320.65;22/11/2021;35.7
22/11/2021;35.5;35.7;35.7;35.4;35.564862115732375;4424;157338.95;19/11/2021;35.5
19/11/2021;35;35.5;35.5;35;35.04549434267241;118784;4162844;18/11/2021;35
18/11/2021;35;35;35;35;35;19476;681660;17/11/2021;35
17/11/2021;37.1;35;37.1;35;35.12722477780322;240215;8438086.3;16/11/2021;37.1
16/11/2021;37.52;37.1;37.52;37.1;37.11782923299565;2073;76945.26;15/11/2021;37.52
15/11/2021;38.2;38.2;38.2;38.2;38.2;10300;393460;12/11/2021;37.9
12/11/2021;37.5;37.9;37.9;37.5;37.62227600694127;10949;411926.3;11/11/2021;37.5
11/11/2021;37.5;37.5;37.5;37.5;37.5;100;3750;10/11/2021;37.5
10/11/2021;37.6;37.5;37.6;37.5;37.50077307438484;10607;397770.7;08/11/2021;36.9
09/11/2021;;;;;37.5;24;900;08/11/2021;36.9
08/11/2021;37.5;36.9;37.5;36.9;37.06258660508083;2598;96288.6;04/11/2021;37.5
05/11/2021;;;;;;;;04/11/2021;37.5
04/11/2021;37.5;37.5;37.5;37.5;37.5;18237;683887.5;03/11/2021;37
03/11/2021;37.3;37;37.3;37;37.26171140169763;4359;162423.8;02/11/2021;37.4
02/11/2021;37.3;37.4;37.5;37.3;37.445238204306;4366;163485.91;29/10/2021;37
29/10/2021;37.2;37;37.2;37;37.014592458070716;18722;692987.2;28/10/2021;37.2
28/10/2021;37.2;37.2;37.2;37.2;37.199999999999996;31832;1184150.4;27/10/2021;37
27/10/2021;37.2;37;37.2;37;37.00723327305606;2765;102325;25/10/2021;37.79
26/10/2021;;;;;37.99;30;1139.7;25/10/2021;37.79
25/10/2021;37.6;37.79;37.8;37.6;37.762939297124596;313;11819.8;22/10/2021;37.1
22/10/2021;36.7;37.1;37.1;36.7;36.99282882011605;20680;765011.7;21/10/2021;36.5
21/10/2021;36.5;36.5;36.5;36.5;36.48185483870968;248;9047.5;20/10/2021;36.21
20/10/2021;36.67;36.21;36.67;36.2;36.40083492366412;2096;76296.15;19/10/2021;36.5
19/10/2021;36;36.5;36.5;36;36.1437946251018;52801;1908428.5;18/10/2021;36
18/10/2021;36;36;36;36;36;2502;90072;15/10/2021;36
15/10/2021;36;36;36.1;36;36.017874493927124;1482;53378.49;14/10/2021;35.8
14/10/2021;35.65;35.8;35.8;35.5;35.51152835559448;9134;324362.3;13/10/2021;35.5
13/10/2021;35.09;35.5;35.5;35.09;35.092460568240845;2417848;84848235.6;12/10/2021;35.1
12/10/2021;35.15;35.1;35.15;35.1;35.10103216514642;10415;365577.25;11/10/2021;35.1
11/10/2021;35.1;35.1;35.1;35.1;35.1;1860;65286;07/10/2021;35.1
07/10/2021;34.4;35.1;35.1;34.4;34.74183743336431;40894;1420732.7;06/10/2021;33.4
06/10/2021;33.4;33.4;33.4;33.4;33.400000000000006;35919;1199694.6;05/10/2021;33.42
05/10/2021;33.7;33.42;33.7;33.42;33.431851851851846;1323;44230.34;04/10/2021;33.42
04/10/2021;33.42;33.42;33.5;33.3;33.3606026962728;17654;588948.08;01/10/2021;33.42
01/10/2021;33.4;33.42;33.42;33.3;33.4;7852;262256.8;30/09/2021;33.4
30/09/2021;33;33.4;33.4;33;33.0784516107655;120719;3993197.6;29/09/2021;33.85
29/09/2021;33.1;33.85;33.85;33;33.060731457800514;1955;64633.73;28/09/2021;33
28/09/2021;33;33;33;33;33;12070;398310;27/09/2021;33.6
27/09/2021;33.3;33.6;33.6;33.3;33.59790658727205;214960;7222206;24/09/2021;32.85
24/09/2021;32.85;32.85;32.85;32.85;32.849718402402964;21307;699928.95;23/09/2021;32.65
23/09/2021;32.5;32.65;32.75;32.5;32.505875962763454;189169;6149104.05;22/09/2021;32.15
22/09/2021;32.5;32.15;32.7;32.15;32.38162131570607;22087;715212.87;21/09/2021;32.15
21/09/2021;31.8;32.15;32.15;31.8;31.983189714129395;14622;467658.2;20/09/2021;32
20/09/2021;32;32;32;32;32;47;1504;17/09/2021;32.39
17/09/2021;32.1;32.39;32.39;32.1;32.37455392809587;751;24313.29;16/09/2021;32.1
16/09/2021;32.1;32.1;32.1;32.1;32.1;2050;65805;15/09/2021;32.1
15/09/2021;31.85;32.1;32.1;31.85;32.097870618023606;112164;3600225.56;14/09/2021;31.85
14/09/2021;31.85;31.85;31.85;31.85;31.85489356245191;3899;124202.23;13/09/2021;31.85
13/09/2021;30.6;31.85;32.2;30.6;31.374328858768088;114797;3601678.83;10/09/2021;30
