Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
03/05/2022;5.5;5.5;5.5;5.5;5.5;9000;49500;02/05/2022;5.5
02/05/2022;5.5;5.5;5.5;5.5;5.500010575775431;66189;364040.2;29/04/2022;5.7
29/04/2022;5.75;5.7;5.75;5.7;5.725154391226649;208723;1194971.4;28/04/2022;5.75
28/04/2022;5.75;5.75;5.75;5.75;5.75;517445;2975308.75;27/04/2022;5.75
27/04/2022;5.65;5.75;5.8;5.65;5.740840493210262;2377485;13648762.16;26/04/2022;5.45
26/04/2022;5.36;5.45;5.45;5.2;5.29155625735982;520563;2754588.4;25/04/2022;5.36
25/04/2022;5.4;5.36;5.4;5.18;5.245429535994804;585015;3068654.96;22/04/2022;5.6
22/04/2022;5.78;5.6;5.78;5.6;5.702114899351405;261951;1493674.7;21/04/2022;5.79
21/04/2022;5.77;5.79;5.8;5.77;5.784722017891465;126429;731356.62;20/04/2022;5.79
20/04/2022;5.8;5.79;5.8;5.78;5.7973678389736785;45210;262099;19/04/2022;5.8
19/04/2022;5.7;5.8;5.8;5.7;5.750254084942705;298719;1717710.15;18/04/2022;5.7
18/04/2022;5.9;5.7;5.9;5.65;5.68908237970005;140690;800397;13/04/2022;5.9
13/04/2022;5.98;5.9;5.98;5.9;5.9189493218036775;104542;618778.8;12/04/2022;6.1
12/04/2022;6.1;6.1;6.15;6.1;6.112862741650527;352627;2155560.45;11/04/2022;6.1
11/04/2022;6.1;6.1;6.12;6.1;6.100250941028858;79700;486190;08/04/2022;6.15
08/04/2022;6.2;6.15;6.2;6.1;6.153062690021867;210831;1297256.36;07/04/2022;6.2
07/04/2022;6.3;6.2;6.3;6.2;6.233587578545781;106944;666644.79;06/04/2022;6.22
06/04/2022;6.2;6.22;6.25;6.2;6.223773037896045;86922;540982.8;05/04/2022;6.2
05/04/2022;6.2;6.2;6.2;6.2;6.203607992656923;14163;87861.7;04/04/2022;6.2
