Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado ($);Fecha anterior;Cierre anterior corregido
03/05/2022;63;62.35;63;62.35;62.77702449192288;3838;240938.22;02/05/2022;61.3
02/05/2022;61.8;61.3;61.8;61.1;61.33794270833334;3840;235537.7;28/04/2022;63.08
29/04/2022;;;;;64;2;128;28/04/2022;63.08
28/04/2022;62.82;63.08;63.08;62.82;63.04414835164835;728;45896.14;27/04/2022;62.9
27/04/2022;63.53;62.9;63.92;62.9;63.562876712328766;1460;92801.8;26/04/2022;62.36
26/04/2022;62.4;62.36;62.5;62.21;62.365;2500;155912.5;25/04/2022;64.6
25/04/2022;64;64.6;64.6;62.5;63.96989528795812;764;48873;22/04/2022;66.33
22/04/2022;66.58;66.33;66.75;65.92;66.59128838451268;2996;199507.5;21/04/2022;68.4
21/04/2022;69.7;68.4;69.7;68.02;69.4391230437129;3706;257341.39;20/04/2022;71.75
20/04/2022;70.72;71.75;71.75;70.72;71.5027345844504;5595;400057.8;19/04/2022;72.63
19/04/2022;72.73;72.63;72.73;72.63;72.66333333333333;204;14823.32;18/04/2022;73.58
18/04/2022;73.16;73.58;73.58;73.16;73.23;3000;219690;12/04/2022;73.61
13/04/2022;;;;;;;;12/04/2022;73.61
12/04/2022;75.13;73.61;75.13;73.61;74.68271340569082;3409;254593.37;11/04/2022;73.7
11/04/2022;73.7;73.7;73.7;73.7;73.7;4041;297821.7;08/04/2022;74.03
08/04/2022;74.18;74.03;74.35;74.03;74.1894243215624;8807;653386.26;07/04/2022;72.75
07/04/2022;73.26;72.75;73.26;72.75;73.25372822128162;20318;1488369.25;06/04/2022;72.7
06/04/2022;73.29;72.7;73.35;72.49;72.72933168316831;9696;705183.6;05/04/2022;74.3
05/04/2022;77.32;74.3;77.32;74.3;75.64918395573997;2169;164083.08;04/04/2022;77.9
04/04/2022;77.9;77.9;77.9;77.9;77.9;2515;195918.5;01/04/2022;78.18
01/04/2022;77.4;78.18;78.18;77.4;77.88786516853934;267;20796.06;31/03/2022;77.03
31/03/2022;77.5;77.03;77.5;77.03;77.1475;400;30859;30/03/2022;77.17
30/03/2022;77.17;77.17;77.17;77.17;77.17;25;1929.25;29/03/2022;76.29
29/03/2022;76.02;76.29;76.29;76.02;76.24020172910663;694;52910.7;28/03/2022;76.26
28/03/2022;75.96;76.26;76.26;75.96;76.15208333333332;432;32897.7;25/03/2022;77.32
25/03/2022;76.7;77.32;77.32;76.7;76.82191011235955;1780;136743;24/03/2022;76.86
24/03/2022;77.3;76.86;77.3;76.86;77.04563300142249;3515;270815.4;23/03/2022;78.01
23/03/2022;77.03;78.01;78.25;77.03;77.17005884389062;2889;222944.3;22/03/2022;76.55
22/03/2022;77.45;76.55;77.45;76.55;76.78314170937803;7219;554297.5;21/03/2022;76.5
21/03/2022;76;76.5;77.2;75.4;76.7341371681416;904;69367.66;18/03/2022;74.16
