"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.05.2022","589,27","589,85","591,43","580,10","-","-0,14%"
"03.05.2022","590,10","588,65","600,26","588,65","-","0,23%"
"02.05.2022","588,75","597,51","597,57","582,62","-","-1,50%"
"29.04.2022","597,72","596,47","602,95","596,47","-","0,21%"
"28.04.2022","596,47","594,84","598,90","590,21","-","0,24%"
"27.04.2022","595,07","585,08","598,39","584,19","-","1,71%"
"26.04.2022","585,04","587,16","589,28","579,41","-","-0,36%"
"25.04.2022","587,14","611,52","614,28","580,82","-","-4,03%"
"22.04.2022","611,79","617,70","619,40","610,16","-","-1,00%"
"21.04.2022","617,96","621,75","623,83","613,61","-","-0,65%"
"20.04.2022","622,02","613,50","622,36","611,56","-","1,49%"
"19.04.2022","612,90","618,10","622,77","610,80","-","-0,86%"
"18.04.2022","618,24","621,03","627,61","615,34","-","-0,49%"
"13.04.2022","621,29","627,72","632,37","620,57","-","-1,02%"
"12.04.2022","627,68","637,12","642,76","626,75","-","-1,50%"
"11.04.2022","637,24","638,49","640,22","635,15","-","-0,23%"
"08.04.2022","638,71","641,44","644,65","637,75","-","-0,87%"
"07.04.2022","644,31","647,71","647,97","641,29","-","0,13%"
"06.04.2022","643,49","651,87","652,00","640,23","-","-1,33%"
"05.04.2022","652,14","655,30","660,70","649,97","-","-0,14%"
"04.04.2022","653,07","650,81","653,36","647,12","-","0,30%"
"01.04.2022","651,10","647,68","652,79","643,73","-","0,55%"
"31.03.2022","647,52","654,50","657,27","646,48","-","-1,07%"
"30.03.2022","654,50","655,58","661,14","653,88","-","-0,13%"
"29.03.2022","655,32","658,50","659,38","653,66","-","-0,48%"
"28.03.2022","658,50","663,80","663,86","654,26","-","-0,83%"
"25.03.2022","664,03","660,21","664,80","658,96","-","0,64%"
"24.03.2022","659,78","665,30","669,12","657,69","-","-0,87%"
"23.03.2022","665,60","661,46","666,39","661,45","-","0,63%"
"22.03.2022","661,46","662,75","665,81","660,28","-","-0,21%"
"21.03.2022","662,84","654,37","666,89","654,37","-","1,29%"
"18.03.2022","654,37","649,03","654,63","645,42","-","0,82%"
"17.03.2022","649,03","640,22","652,92","640,22","-","1,38%"
"16.03.2022","640,20","634,58","641,36","634,56","-","0,90%"
"15.03.2022","634,49","637,15","638,99","632,30","-","-0,42%"
"14.03.2022","637,15","648,69","648,94","633,67","-","-1,77%"
"11.03.2022","648,62","649,30","651,43","646,21","-","-0,10%"
"10.03.2022","649,30","648,31","655,60","644,26","-","0,15%"
"09.03.2022","648,31","645,89","648,99","638,78","-","0,35%"
"08.03.2022","646,06","640,00","654,80","640,00","-","0,91%"
"07.03.2022","640,25","657,52","657,97","640,25","-","-2,63%"
"04.03.2022","657,52","644,63","657,91","643,35","-","1,96%"
"03.03.2022","644,86","639,51","645,39","639,18","-","0,83%"
"02.03.2022","639,57","640,87","644,12","636,99","-","-0,12%"
