Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado ($);Fecha anterior;Cierre anterior corregido
03/05/2022;0.78;0.76;0.79;0.75;0.7637475399428632;94510;72181.78;02/05/2022;0.77
02/05/2022;0.78;0.77;0.78;0.75;0.7637792642140468;37375;28546.25;29/04/2022;0.8
29/04/2022;0.85;0.8;0.86;0.78;0.7947729701595045;324693;258057.22;28/04/2022;0.88
28/04/2022;0.87;0.88;0.9;0.84;0.8656410338259861;281943;244061.43;27/04/2022;0.83
27/04/2022;0.79;0.83;0.83;0.79;0.8208196570587964;108765;89276.45;26/04/2022;0.81
26/04/2022;0.81;0.81;0.83;0.8;0.8204363792317796;37307;30608.02;25/04/2022;0.84
25/04/2022;0.83;0.84;0.84;0.82;0.8322448979591837;14700;12234;22/04/2022;0.9
22/04/2022;0.93;0.9;0.93;0.89;0.9079801786501918;333277;302608.91;21/04/2022;0.95
21/04/2022;1.03;0.95;1.03;0.92;0.9717986338128335;334654;325216.3;20/04/2022;1.07
20/04/2022;1.08;1.07;1.09;1.02;1.0677649369742837;82982;88605.27;19/04/2022;1.1
19/04/2022;1.11;1.1;1.13;1.08;1.1024010904153323;192954;212712.7;18/04/2022;1.12
18/04/2022;1.35;1.12;1.35;1.12;1.1709006730063551;128082;149971.3;13/04/2022;1.45
13/04/2022;1.38;1.45;1.45;1.38;1.4104652281911016;141307;199308.61;12/04/2022;1.35
12/04/2022;1.35;1.35;1.39;1.31;1.3689389117781292;159949;218960.41;11/04/2022;1.3
11/04/2022;1.22;1.3;1.3;1.22;1.2873722917251977;181527;233692.83;08/04/2022;1.15
08/04/2022;1.15;1.15;1.15;1.15;1.1527530972343887;7991;9211.65;07/04/2022;1.15
07/04/2022;1.15;1.15;1.15;1.15;1.1500000000000001;1458;1676.7;06/04/2022;1.15
06/04/2022;1.2;1.15;1.2;1.15;1.1809278350515464;4850;5727.5;05/04/2022;1.2
05/04/2022;1.24;1.2;1.24;1.2;1.2075;16000;19320;04/04/2022;1.25
04/04/2022;1.25;1.25;1.25;1.23;1.2459050857372673;27351;34076.75;01/04/2022;1.2
01/04/2022;1.18;1.2;1.21;1.18;1.1986267298552566;147917;177297.27;31/03/2022;1.14
31/03/2022;1.14;1.14;1.14;1.14;1.1400000000000001;2292;2612.88;30/03/2022;1.14
30/03/2022;1.16;1.14;1.16;1.14;1.148720930232558;17200;19758;29/03/2022;1.1
29/03/2022;1.14;1.1;1.14;1.1;1.1194736842105264;39900;44667;28/03/2022;1.14
28/03/2022;1.14;1.14;1.14;1.14;1.1451900000000002;2000;2290.38;25/03/2022;1.16
25/03/2022;1.16;1.16;1.16;1.16;1.156875214850464;2909;3365.35;24/03/2022;1.15
24/03/2022;1.18;1.15;1.18;1.15;1.1637816521378166;12045;14017.75;23/03/2022;1.18
23/03/2022;1.15;1.18;1.2;1.15;1.1813317072170864;97574;115267.26;22/03/2022;1.11
22/03/2022;1.11;1.11;1.11;1.11;1.1099999999999999;6631;7360.41;21/03/2022;1.16
21/03/2022;1.12;1.16;1.16;1.1;1.1331982310093651;19220;21780.07;18/03/2022;1.09
18/03/2022;1.09;1.09;1.09;1.09;1.0899999999999999;32155;35048.95;17/03/2022;1.09
17/03/2022;1.09;1.09;1.09;1.09;1.0899840127897682;5004;5454.28;16/03/2022;1.02
16/03/2022;1;1.02;1.02;1;1.014279176201373;17480;17729.6;15/03/2022;1.03
15/03/2022;1.03;1.03;1.03;1.03;1.03;8800;9064;14/03/2022;1.06
14/03/2022;1.08;1.06;1.08;1.02;1.0428996257906413;30197;31492.44;11/03/2022;1.1
11/03/2022;1.13;1.1;1.13;1.1;1.1187647058823529;17000;19019;10/03/2022;1.18
10/03/2022;1.17;1.18;1.18;1.17;1.1763984643685517;12503;14708.51;09/03/2022;1.17
09/03/2022;1.17;1.17;1.17;1.17;1.17;11600;13572;08/03/2022;1.17
08/03/2022;1.16;1.17;1.17;1.16;1.163731343283582;26800;31188;07/03/2022;1.13
07/03/2022;1.14;1.13;1.15;1.13;1.1428164838961936;54987;62840.05;04/03/2022;1.2
04/03/2022;1.15;1.2;1.2;1.12;1.1367042453453056;121168;137732.18;03/03/2022;1.11
03/03/2022;1.05;1.11;1.12;1.05;1.0881504788716845;72462;78849.56;02/03/2022;1.02
02/03/2022;1.02;1.02;1.02;1.02;1.0188982574480046;8895;9063.1;01/03/2022;0.97
01/03/2022;0.95;0.97;0.99;0.94;0.9704428283008555;89651;87001.17;28/02/2022;0.99
28/02/2022;1;0.99;1;0.98;0.9892752659574469;21056;20830.18;25/02/2022;1.02
25/02/2022;1.02;1.02;1.02;1.02;1.02;3730;3804.6;23/02/2022;1.02
24/02/2022;;;;;1;500;500;23/02/2022;1.02
23/02/2022;1.02;1.02;1.02;1.02;1.02;8000;8160;22/02/2022;0.98
22/02/2022;1;0.98;1.02;0.98;1;15000;15000;18/02/2022;0.98
21/02/2022;;;;;;;;18/02/2022;0.98
18/02/2022;0.98;0.98;0.98;0.98;0.98;11500;11270;17/02/2022;0.98
17/02/2022;1;0.98;1;0.98;0.99679879199698;21192;21124.16;16/02/2022;1.02
16/02/2022;1.01;1.02;1.02;1.01;1.0157709767169425;13658;13873.4;15/02/2022;0.98
15/02/2022;0.97;0.98;0.98;0.97;0.9753983407205365;17598;17165.06;14/02/2022;1
14/02/2022;1.01;1;1.01;0.98;0.9956908652413083;36903;36743.98;11/02/2022;1.04
11/02/2022;1.04;1.04;1.04;1.04;1.0386731737074884;19671;20431.74;10/02/2022;1.04
