Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
03/05/2022;;;;;1.95;2090;4075.5;02/05/2022;1.95
02/05/2022;2;1.95;2;1.95;1.9597441713485868;257907;505431.74;29/04/2022;2
29/04/2022;2;2;2.01;2;2.0005196154845413;192450;385000;28/04/2022;2
28/04/2022;2;2;2.02;2;2.002751641074073;85767;171770;27/04/2022;1.95
27/04/2022;2;1.95;2;1.94;1.949683072334079;134100;261452.5;26/04/2022;1.77
26/04/2022;1.78;1.77;1.78;1.72;1.7277571787360844;593663;1025705.51;25/04/2022;1.78
25/04/2022;1.85;1.78;1.85;1.78;1.7875547224877975;397460;710481.5;22/04/2022;1.93
22/04/2022;1.91;1.93;1.94;1.91;1.9144198062560434;505719;968158.47;21/04/2022;1.92
21/04/2022;1.91;1.92;1.92;1.9;1.910392477826042;813116;1553370.69;20/04/2022;1.9
20/04/2022;1.87;1.9;1.92;1.87;1.8963803361981237;1346230;2552964.1;19/04/2022;1.87
19/04/2022;1.87;1.87;1.88;1.85;1.8611514477242295;958159;1783279.01;18/04/2022;1.87
18/04/2022;1.95;1.87;1.95;1.87;1.877567951951631;599063;1124781.49;13/04/2022;1.95
13/04/2022;2.04;1.95;2.04;1.88;1.9860059903565759;1542813;3064035.86;12/04/2022;2.04
12/04/2022;2.11;2.04;2.11;2.04;2.089292265219222;170968;357202.12;11/04/2022;2.12
11/04/2022;2.13;2.12;2.15;2.12;2.1234146172839505;202500;429991.46;08/04/2022;2.12
08/04/2022;2.14;2.12;2.14;2.12;2.1226967950247153;180251;382618.22;07/04/2022;2.15
07/04/2022;2.15;2.15;2.15;2.14;2.144842522614454;94077;201780.35;06/04/2022;2.15
06/04/2022;2.18;2.15;2.18;2.15;2.1544856459330144;26752;57636.8;05/04/2022;2.18
05/04/2022;2.19;2.18;2.19;2.18;2.1840557826100517;32053;70005.54;04/04/2022;2.2
04/04/2022;2.2;2.2;2.2;2.2;2.2;801658;1763647.6;01/04/2022;2.2
01/04/2022;2.2;2.2;2.2;2.2;2.1999999999999997;41552;91414.4;31/03/2022;2.16
31/03/2022;2.2;2.16;2.2;2.16;2.177021942041734;102315;222742;30/03/2022;2.16
30/03/2022;2.16;2.16;2.16;2.16;2.16;11415;24656.4;29/03/2022;2.15
29/03/2022;2.15;2.15;2.15;2.15;2.1506766357669664;29558;63569.7;28/03/2022;2.15
28/03/2022;2.15;2.15;2.15;2.15;2.1506792156862744;31875;68552.9;25/03/2022;2.17
25/03/2022;2.16;2.17;2.18;2.15;2.1606379491586343;740106;1599101.11;24/03/2022;2.15
24/03/2022;2.15;2.15;2.15;2.15;2.150054945054945;10010;21522.05;23/03/2022;2.15
23/03/2022;2.2;2.15;2.2;2.15;2.151550294218415;5601111;12051072.02;22/03/2022;2.2
22/03/2022;2.2;2.2;2.2;2.2;2.2;112418;247319.6;21/03/2022;2.2
21/03/2022;2.2;2.2;2.2;2.2;2.19984522984523;21645;47615.65;18/03/2022;2.2
18/03/2022;2.18;2.2;2.2;2.18;2.183522781545515;125628;274311.6;17/03/2022;2.2
17/03/2022;2.2;2.2;2.2;2.2;2.2;175982;387160.4;16/03/2022;2.23
16/03/2022;2.24;2.23;2.24;2.23;2.234917257362807;295132;659595.6;15/03/2022;2.24
15/03/2022;2.28;2.24;2.28;2.24;2.2534304084100416;305159;687654.57;14/03/2022;2.28
14/03/2022;2.3;2.28;2.3;2.28;2.2909160171130516;68252;156359.6;11/03/2022;2.31
11/03/2022;2.3;2.31;2.31;2.3;2.3004611097035723;157880;363196.8;10/03/2022;2.31
10/03/2022;2.31;2.31;2.31;2.3;2.3079927123360275;754700;1741842.1;09/03/2022;2.3
09/03/2022;2.31;2.3;2.31;2.3;2.3024590163934424;61000;140450;08/03/2022;2.31
08/03/2022;2.35;2.31;2.35;2.31;2.346140656529458;906890;2127691.5;07/03/2022;2.35
07/03/2022;2.38;2.35;2.38;2.35;2.3603896103896105;77000;181750;04/03/2022;2.4
04/03/2022;2.4;2.4;2.4;2.4;2.4;54240;130176;03/03/2022;2.4
03/03/2022;2.45;2.4;2.45;2.4;2.401672141381412;269116;646328.4;02/03/2022;2.45
02/03/2022;2.4;2.45;2.45;2.4;2.4260688216892596;153440;372256;01/03/2022;2.37
01/03/2022;2.37;2.37;2.37;2.36;2.368589203390671;20173;47781.55;28/02/2022;2.34
28/02/2022;2.34;2.34;2.34;2.34;2.34;385754;902664.36;25/02/2022;2.39
25/02/2022;2.39;2.39;2.39;2.39;2.39;2500;5975;24/02/2022;2.38
24/02/2022;2.42;2.38;2.42;2.38;2.3903983607126733;57586;137653.48;23/02/2022;2.42
23/02/2022;2.45;2.42;2.45;2.42;2.430665451230629;10970;26664.4;22/02/2022;2.45
22/02/2022;2.45;2.45;2.45;2.45;2.4500092049670004;108637;266161.65;18/02/2022;2.5
21/02/2022;;;;;;;;18/02/2022;2.5
18/02/2022;2.55;2.5;2.55;2.5;2.5125;8000;20100;17/02/2022;2.59
17/02/2022;2.6;2.59;2.6;2.59;2.5996269856945347;744261;1934800.98;14/02/2022;2.6
16/02/2022;;;;;;;;14/02/2022;2.6
15/02/2022;;;;;2.6;1;2.6;14/02/2022;2.6
14/02/2022;2.58;2.6;2.6;2.58;2.599478702035528;859777;2234972;11/02/2022;2.62
11/02/2022;2.62;2.62;2.62;2.62;2.62;9504;24900.48;09/02/2022;2.62
10/02/2022;;;;;2.6399999999999997;320;844.8;09/02/2022;2.64
09/02/2022;2.52;2.64;2.64;2.52;2.6104440169423873;180376;470861.45;08/02/2022;2.62
08/02/2022;2.48;2.62;2.62;2.48;2.576840252894431;62793;161807.53;07/02/2022;2.48
07/02/2022;2.48;2.48;2.48;2.48;2.48;511785;1269226.8;04/02/2022;2.48
04/02/2022;2.48;2.48;2.48;2.48;2.48;5000;12400;03/02/2022;2.52
03/02/2022;2.52;2.52;2.52;2.52;2.5099906919019546;9669;24269.1;02/02/2022;2.52
02/02/2022;2.45;2.52;2.52;2.45;2.4559484468059547;574397;1410689.42;01/02/2022;2.48
01/02/2022;2.42;2.48;2.48;2.41;2.4525766767697696;207527;508975.88;31/01/2022;2.48
31/01/2022;2.48;2.48;2.48;2.48;2.48;4664;11566.72;28/01/2022;2.48
28/01/2022;2.4;2.48;2.48;2.4;2.443963636363636;5500;13441.8;27/01/2022;2.42
27/01/2022;2.4;2.42;2.44;2.4;2.4214628959161457;315976;765124.16;26/01/2022;2.4
26/01/2022;2.4;2.4;2.4;2.4;2.3999209486166007;126500;303590;25/01/2022;2.4
25/01/2022;2.41;2.4;2.41;2.4;2.400359712230216;278000;667300;24/01/2022;2.41
24/01/2022;2.4;2.41;2.41;2.4;2.40050507601394;39598;95055.2;21/01/2022;2.46
21/01/2022;2.4;2.46;2.46;2.4;2.4071413178386587;867739;2088770.4;20/01/2022;2.4
20/01/2022;2.4;2.4;2.42;2.39;2.4000251582114327;154224;370141.48;19/01/2022;2.4
19/01/2022;2.4;2.4;2.4;2.36;2.399748893076182;408113;979368.72;18/01/2022;2.4
18/01/2022;2.4;2.4;2.4;2.39;2.399506398537477;273500;656265;17/01/2022;2.4
17/01/2022;2.4;2.4;2.4;2.4;2.4003294169320304;91070;218598;14/01/2022;2.4
14/01/2022;2.4;2.4;2.4;2.39;2.3997452456468853;235521;565190.4;13/01/2022;2.4
13/01/2022;2.43;2.4;2.43;2.39;2.4058578680203047;137900;331767.8;12/01/2022;2.43
12/01/2022;2.4;2.43;2.43;2.38;2.4054847361322644;390006;938153.48;11/01/2022;2.41
11/01/2022;2.4;2.41;2.42;2.4;2.407467867529787;106590;256612;10/01/2022;2.4
10/01/2022;2.41;2.4;2.41;2.4;2.4084551424984006;870501;2096562.61;07/01/2022;2.41
07/01/2022;2.45;2.41;2.45;2.41;2.419240248532965;57940;140170.78;06/01/2022;2.48
06/01/2022;2.45;2.48;2.49;2.45;2.4891446044227807;751699;1871087.51;05/01/2022;2.49
05/01/2022;2.44;2.49;2.49;2.44;2.462249497460069;302961;745965.57;04/01/2022;2.4
04/01/2022;2.38;2.4;2.4;2.38;2.3904879083580823;58925;140859.5;03/01/2022;2.36
03/01/2022;2.36;2.36;2.36;2.36;2.3598978;100000;235989.78;31/12/2021;2.36
31/12/2021;2.39;2.4;2.4;2.39;2.3909051254089424;45850;109623;30/12/2021;2.39
30/12/2021;2.4;2.39;2.4;2.39;2.399844077363833;763199;1831558.6;29/12/2021;2.4
